Time,Open,High,Low,Last,Change,%Chg,Volume
12/31/2020,1.06648,1.07205,1.06492,1.0709,0.00441,+0.41%,167044
12/30/2020,1.06377,1.06748,1.06294,1.06649,0.0026,+0.24%,170133
12/29/2020,1.06687,1.06787,1.06287,1.06389,-0.00301,-0.28%,161867
12/28/2020,1.06965,1.06974,1.06626,1.0669,-0.00072,-0.07%,158288
12/24/2020,1.06729,1.07047,1.06581,1.06762,0.00022,+0.02%,148437
12/23/2020,1.06788,1.07118,1.06689,1.0674,-0.0006,-0.06%,203322
12/22/2020,1.06547,1.07139,1.06547,1.068,0.00242,+0.23%,217936
12/21/2020,1.0654,1.07021,1.06507,1.06558,-0.00071,-0.07%,259955
12/18/2020,1.06526,1.06935,1.064,1.06629,0.00092,+0.09%,175272
12/17/2020,1.06484,1.06692,1.06255,1.06537,0.00054,+0.05%,163086
12/16/2020,1.06599,1.06905,1.06269,1.06483,-0.00123,-0.12%,190114
12/15/2020,1.06352,1.06678,1.06139,1.06606,0.00252,+0.24%,180806
12/14/2020,1.06443,1.06551,1.06221,1.06354,0.00108,+0.10%,175606
12/11/2020,1.06138,1.06558,1.06052,1.06246,0.00106,+0.10%,198506
12/10/2020,1.05964,1.06416,1.0569,1.0614,0.00177,+0.17%,206135
12/09/2020,1.05183,1.05963,1.05124,1.05963,0.00782,+0.74%,194825
12/08/2020,1.05333,1.05622,1.05126,1.05181,-0.00156,-0.15%,189694
12/07/2020,1.05546,1.0558,1.0516,1.05337,-0.00036,-0.03%,194418
12/04/2020,1.05109,1.05682,1.05045,1.05373,0.00254,+0.24%,194100
12/03/2020,1.04902,1.0522,1.04749,1.05119,0.00217,+0.21%,183605
12/02/2020,1.04312,1.04975,1.04224,1.04902,0.00589,+0.56%,189614
12/01/2020,1.04632,1.04837,1.04172,1.04313,-0.00326,-0.31%,185613
11/30/2020,1.05148,1.05204,1.04604,1.04639,-0.00399,-0.38%,200153
11/27/2020,1.04997,1.05181,1.0493,1.05038,0.00033,+0.03%,152679
11/26/2020,1.05052,1.05242,1.04894,1.05005,-0.00054,-0.05%,124519
11/25/2020,1.05426,1.05619,1.04893,1.05059,-0.00372,-0.35%,185582
11/24/2020,1.05209,1.05537,1.04729,1.05431,0.00219,+0.21%,186361
11/23/2020,1.05555,1.05555,1.05138,1.05212,-0.00107,-0.10%,180421
11/20/2020,1.05267,1.05386,1.05108,1.05319,0.00053,+0.05%,198509
11/19/2020,1.05468,1.0567,1.05236,1.05266,-0.0021,-0.20%,200996
11/18/2020,1.05901,1.05912,1.05476,1.05476,-0.00427,-0.40%,185159
11/17/2020,1.05983,1.06274,1.05887,1.05903,-0.00084,-0.08%,168550
11/16/2020,1.06166,1.06255,1.05867,1.05987,-0.00109,-0.10%,173852
11/13/2020,1.05681,1.06301,1.05583,1.06096,0.00412,+0.39%,173351
11/12/2020,1.05763,1.05874,1.05467,1.05684,-0.0008,-0.08%,198033
11/11/2020,1.06623,1.06847,1.05702,1.05764,-0.00863,-0.81%,206358
11/10/2020,1.06406,1.06761,1.06396,1.06627,0.00197,+0.19%,260125
11/09/2020,1.07188,1.07296,1.0643,1.0643,-0.00696,-0.65%,273910
11/06/2020,1.07532,1.07532,1.06954,1.07126,-0.00408,-0.38%,243703
11/05/2020,1.07127,1.07587,1.0688,1.07534,0.00404,+0.38%,262448
11/04/2020,1.06864,1.07381,1.06498,1.0713,0.00219,+0.20%,333220
11/03/2020,1.06323,1.0699,1.06044,1.06911,0.00586,+0.55%,196432
11/02/2020,1.06204,1.06418,1.06021,1.06325,0.00069,+0.06%,209454
10/30/2020,1.05991,1.06339,1.05897,1.06256,0.00253,+0.24%,251355
10/29/2020,1.0609,1.06317,1.05972,1.06003,-0.00089,-0.08%,192693
10/28/2020,1.06219,1.06579,1.06015,1.06092,-0.00128,-0.12%,187413
10/27/2020,1.06598,1.06687,1.0616,1.0622,-0.00374,-0.35%,142717
10/26/2020,1.0656,1.06718,1.06369,1.06594,1.0E-5,0.00%,157397
10/23/2020,1.06601,1.06879,1.06498,1.06593,-7.0E-5,-0.01%,146316
10/22/2020,1.06934,1.07029,1.06425,1.066,-0.00333,-0.31%,155904
10/21/2020,1.07087,1.07203,1.06742,1.06933,-0.00156,-0.15%,157922
10/20/2020,1.06906,1.07248,1.06851,1.07089,0.00179,+0.17%,150088
10/19/2020,1.07164,1.07297,1.06819,1.0691,-0.00115,-0.11%,172586
10/16/2020,1.07509,1.07515,1.07025,1.07025,-0.00484,-0.45%,182998
10/15/2020,1.07575,1.07609,1.0702,1.07509,-0.00067,-0.06%,215491
10/14/2020,1.07614,1.0788,1.07475,1.07576,-0.00042,-0.04%,191005
10/13/2020,1.08435,1.08489,1.07618,1.07618,-0.00821,-0.76%,199378
10/12/2020,1.08463,1.08586,1.08263,1.08439,-0.0006,-0.06%,148659
10/09/2020,1.08847,1.08931,1.08478,1.08499,-0.00349,-0.32%,166893
10/08/2020,1.08383,1.08943,1.08383,1.08848,0.00461,+0.43%,166718
10/07/2020,1.07747,1.08628,1.07615,1.08387,0.0064,+0.59%,187399
10/06/2020,1.08034,1.08303,1.07587,1.07747,-0.00287,-0.27%,212083
10/05/2020,1.07915,1.08216,1.07732,1.08034,0.00237,+0.22%,164227
10/02/2020,1.07869,1.08061,1.07695,1.07797,-0.00078,-0.07%,241489
10/01/2020,1.08159,1.08468,1.07875,1.07875,-0.00284,-0.26%,213581
09/30/2020,1.08149,1.08494,1.07868,1.08159,0.00013,+0.01%,230401
09/29/2020,1.07835,1.08215,1.07798,1.08146,0.0031,+0.29%,201042
09/28/2020,1.0751,1.07908,1.07214,1.07836,0.00486,+0.45%,193195
09/25/2020,1.07402,1.07778,1.07158,1.0735,-0.00059,-0.05%,223437
09/24/2020,1.07713,1.08054,1.07409,1.07409,-0.00352,-0.33%,242391
09/23/2020,1.08038,1.08209,1.07496,1.07761,-0.00274,-0.25%,245564
09/22/2020,1.08244,1.08497,1.07952,1.08035,-0.00225,-0.21%,225153
09/21/2020,1.07873,1.08373,1.07759,1.0826,0.00413,+0.38%,234276
09/18/2020,1.08228,1.0835,1.07658,1.07847,-0.00381,-0.35%,211759
09/17/2020,1.08502,1.08866,1.08162,1.08228,-0.00274,-0.25%,251555
09/16/2020,1.08732,1.08819,1.08326,1.08502,-0.00229,-0.21%,211556
09/15/2020,1.08742,1.09099,1.08593,1.08731,-0.00019,-0.02%,170941
09/14/2020,1.0928,1.0928,1.08568,1.0875,-0.00481,-0.44%,161059
09/11/2020,1.09115,1.09303,1.08993,1.09231,0.00116,+0.11%,200409
09/10/2020,1.08954,1.09355,1.08715,1.09115,0.00163,+0.15%,217635
09/09/2020,1.08977,1.09134,1.08801,1.08952,-0.00031,-0.03%,211562
09/08/2020,1.08713,1.09187,1.08546,1.08983,0.00268,+0.25%,217580
09/07/2020,1.08471,1.08786,1.08335,1.08715,0.00376,+0.35%,142465
09/04/2020,1.08348,1.08555,1.08238,1.08339,-9.0E-5,-0.01%,220939
09/03/2020,1.08354,1.08593,1.08149,1.08348,-0.00013,-0.01%,218496
09/02/2020,1.09072,1.09134,1.0819,1.08361,-0.00716,-0.66%,192106
09/01/2020,1.09477,1.09598,1.0888,1.09077,-0.00426,-0.39%,223069
08/31/2020,1.0927,1.09542,1.09096,1.09503,0.00263,+0.24%,189846
08/28/2020,1.09316,1.0957,1.09027,1.0924,-0.00086,-0.08%,210037
08/27/2020,1.0923,1.09435,1.08985,1.09326,0.00095,+0.09%,216209
08/26/2020,1.09868,1.09964,1.09204,1.09231,-0.00638,-0.58%,156666
08/25/2020,1.09684,1.09999,1.09577,1.09869,0.00144,+0.13%,147293
08/24/2020,1.09441,1.10023,1.09373,1.09725,0.00308,+0.28%,146607
08/21/2020,1.10036,1.10319,1.09394,1.09417,-0.0062,-0.56%,178178
08/20/2020,1.09463,1.10329,1.09324,1.10037,0.00566,+0.52%,188808
08/19/2020,1.09715,1.09797,1.09288,1.09471,-0.00245,-0.22%,181647
08/18/2020,1.0998,1.10432,1.0959,1.09716,-0.00265,-0.24%,163159
08/17/2020,1.09578,1.10278,1.09384,1.09981,0.00382,+0.35%,134659
08/14/2020,1.09151,1.09624,1.08889,1.09599,0.00446,+0.41%,140276
08/13/2020,1.08867,1.09217,1.08751,1.09153,0.00286,+0.26%,162309
08/12/2020,1.08546,1.09176,1.08446,1.08867,0.00275,+0.25%,180870
08/11/2020,1.08452,1.08954,1.08263,1.08592,0.00136,+0.13%,178312
08/10/2020,1.0847,1.08734,1.08217,1.08456,0.00095,+0.09%,134313
08/07/2020,1.08171,1.08541,1.07975,1.08361,0.00189,+0.17%,187371
08/06/2020,1.08165,1.08521,1.08017,1.08172,6.0E-5,+0.01%,185789
08/05/2020,1.08102,1.08606,1.07779,1.08166,0.00057,+0.05%,171771
08/04/2020,1.07706,1.08282,1.07486,1.08109,0.00402,+0.37%,167837
08/03/2020,1.07601,1.07858,1.07172,1.07707,-0.00025,-0.02%,175154
07/31/2020,1.07374,1.07838,1.07237,1.07732,0.00359,+0.33%,232998
07/30/2020,1.07752,1.07997,1.07336,1.07373,-0.00385,-0.36%,194885
07/29/2020,1.07426,1.07926,1.07332,1.07758,0.00325,+0.30%,179931
07/28/2020,1.06944,1.07582,1.06831,1.07433,0.0049,+0.46%,207468
07/27/2020,1.06504,1.07017,1.06462,1.06943,-0.00022,-0.02%,185473
07/24/2020,1.0696,1.07132,1.06729,1.06965,6.0E-5,+0.01%,204027
07/23/2020,1.0711,1.07282,1.0688,1.06959,-0.00187,-0.17%,209387
07/22/2020,1.07277,1.0745,1.07082,1.07146,-0.00131,-0.12%,194959
07/21/2020,1.06669,1.07537,1.066,1.07277,0.00607,+0.57%,173716
07/20/2020,1.0671,1.06762,1.06547,1.0667,0.00046,+0.04%,135560
07/17/2020,1.06641,1.06794,1.06555,1.06624,-0.00019,-0.02%,136390
07/16/2020,1.06619,1.06779,1.06495,1.06643,0.00024,+0.02%,179307
07/15/2020,1.06776,1.06919,1.06507,1.06619,-0.00157,-0.15%,190144
07/14/2020,1.06096,1.0683,1.06033,1.06776,0.00679,+0.64%,213931
07/13/2020,1.05791,1.06231,1.05666,1.06097,0.00416,+0.39%,180745
07/10/2020,1.05968,1.06009,1.05651,1.05681,-0.00288,-0.27%,180067
07/09/2020,1.06146,1.06283,1.05887,1.05969,-0.00178,-0.17%,193076
07/08/2020,1.06092,1.0623,1.05874,1.06147,0.00055,+0.05%,176790
07/07/2020,1.06358,1.06489,1.06033,1.06092,-0.00267,-0.25%,174340
07/06/2020,1.06221,1.06618,1.0611,1.06359,0.01021,+0.97%,149928
07/03/2020,1.06337,1.06638,1.05338,1.05338,-0.01001,-0.94%,123317
07/02/2020,1.06734,1.06758,1.06059,1.06339,-0.00396,-0.37%,170666
07/01/2020,1.06919,1.07047,1.06645,1.06735,-0.00184,-0.17%,163062
06/30/2020,1.06885,1.07173,1.06785,1.06919,0.00034,+0.03%,173954
06/29/2020,1.06722,1.07027,1.06671,1.06885,0.00022,+0.02%,159929
06/26/2020,1.07092,1.07159,1.06731,1.06863,-0.00228,-0.21%,161956
06/25/2020,1.07149,1.07187,1.06723,1.07091,-0.00059,-0.06%,196479
06/24/2020,1.06734,1.0752,1.06137,1.0715,0.00417,+0.39%,199415
06/23/2020,1.06591,1.06931,1.06496,1.06733,0.00143,+0.13%,202574
06/22/2020,1.06728,1.06829,1.06294,1.0659,-0.0006,-0.06%,157010
06/19/2020,1.06517,1.07073,1.06416,1.0665,0.00135,+0.13%,196978
06/18/2020,1.06592,1.06855,1.06207,1.06515,-0.00061,-0.06%,210428
06/17/2020,1.0675,1.06942,1.06502,1.06576,-0.00185,-0.17%,209363
06/16/2020,1.06849,1.0728,1.06552,1.06761,-0.00089,-0.08%,244623
06/15/2020,1.06374,1.06901,1.05811,1.0685,0.00344,+0.32%,260265
06/12/2020,1.0657,1.06807,1.06293,1.06506,-0.00065,-0.06%,278272
06/11/2020,1.06984,1.07105,1.06302,1.06571,-0.00464,-0.43%,251100
06/10/2020,1.06809,1.07273,1.06585,1.07035,0.00202,+0.19%,207733
06/09/2020,1.07013,1.07041,1.06375,1.06833,-0.00179,-0.17%,191982
06/08/2020,1.07204,1.07204,1.06797,1.07012,-0.00069,-0.06%,165169
06/05/2020,1.07392,1.07699,1.06977,1.07081,-0.00319,-0.30%,206387
06/04/2020,1.07737,1.07896,1.07334,1.074,-0.00338,-0.31%,208604
06/03/2020,1.08238,1.08597,1.07566,1.07738,-0.005,-0.46%,218070
06/02/2020,1.08001,1.08794,1.07901,1.08238,0.00235,+0.22%,196669
06/01/2020,1.07305,1.08152,1.07305,1.08003,0.00579,+0.54%,172838
05/29/2020,1.06841,1.0752,1.06669,1.07424,0.00582,+0.54%,209168
05/28/2020,1.06816,1.07141,1.06672,1.06842,-6.0E-5,-0.01%,185553
05/27/2020,1.07317,1.07379,1.06699,1.06848,-0.0047,-0.44%,209125
05/26/2020,1.07194,1.07387,1.06924,1.07318,0.00122,+0.11%,162288
05/25/2020,1.07188,1.07352,1.07056,1.07196,0.00108,+0.10%,101816
05/22/2020,1.07198,1.07319,1.06671,1.07088,-0.00126,-0.12%,164235
05/21/2020,1.0732,1.07494,1.07012,1.07214,-0.00105,-0.10%,175799
05/20/2020,1.07537,1.0762,1.07122,1.07319,-0.00218,-0.20%,166390
05/19/2020,1.07962,1.0827,1.07397,1.07537,-0.00427,-0.40%,169778
05/18/2020,1.08182,1.08296,1.07756,1.07964,-0.00059,-0.05%,147097
05/15/2020,1.0759,1.08237,1.07524,1.08023,0.00428,+0.40%,173188
