Time,Open,High,Low,Last,Change,%Chg,Volume
"11/30/2020 23:59",1.04734,1.04741,1.04727,1.0474,6.0E-5,+0.01%,124
"11/30/2020 23:58",1.04727,1.04735,1.04726,1.04734,7.0E-5,+0.01%,136
"11/30/2020 23:57",1.04728,1.04731,1.04724,1.04727,-1.0E-5,0.00%,156
"11/30/2020 23:56",1.04711,1.04731,1.04703,1.04728,0.00017,+0.02%,98
"11/30/2020 23:55",1.04712,1.04714,1.04708,1.04711,0,0.00%,106
"11/30/2020 23:54",1.04719,1.04721,1.04709,1.04711,-9.0E-5,-0.01%,125
"11/30/2020 23:53",1.04733,1.04733,1.04719,1.0472,-0.00012,-0.01%,81
"11/30/2020 23:52",1.04724,1.04733,1.04721,1.04732,9.0E-5,+0.01%,61
"11/30/2020 23:51",1.04723,1.04725,1.04721,1.04723,1.0E-5,0.00%,44
"11/30/2020 23:50",1.04722,1.04726,1.0472,1.04722,1.0E-5,0.00%,77
"11/30/2020 23:49",1.04727,1.04732,1.04719,1.04721,-6.0E-5,-0.01%,122
"11/30/2020 23:48",1.04727,1.04729,1.04724,1.04727,0,0.00%,79
"11/30/2020 23:47",1.04733,1.04734,1.04727,1.04727,-6.0E-5,-0.01%,37
"11/30/2020 23:46",1.04733,1.04734,1.04726,1.04733,0,0.00%,55
"11/30/2020 23:45",1.0472,1.04734,1.04718,1.04733,0.00012,+0.01%,104
"11/30/2020 23:44",1.04731,1.04735,1.0472,1.04721,-9.0E-5,-0.01%,126
"11/30/2020 23:43",1.04728,1.04731,1.04727,1.0473,2.0E-5,0.00%,95
"11/30/2020 23:42",1.0472,1.04729,1.04719,1.04728,8.0E-5,+0.01%,95
"11/30/2020 23:41",1.04728,1.04729,1.0472,1.0472,-7.0E-5,-0.01%,102
"11/30/2020 23:40",1.04717,1.04727,1.04712,1.04727,0.0001,+0.01%,162
"11/30/2020 23:39",1.04716,1.04718,1.04713,1.04717,2.0E-5,0.00%,105
"11/30/2020 23:38",1.04718,1.04719,1.04712,1.04715,-3.0E-5,0.00%,149
"11/30/2020 23:37",1.04718,1.04721,1.04712,1.04718,0,0.00%,133
"11/30/2020 23:36",1.04719,1.04722,1.04718,1.04718,-1.0E-5,0.00%,70
"11/30/2020 23:35",1.04715,1.04722,1.04711,1.04719,4.0E-5,0.00%,115
"11/30/2020 23:34",1.04715,1.0472,1.04715,1.04715,0,0.00%,59
"11/30/2020 23:33",1.04708,1.04715,1.04708,1.04715,8.0E-5,+0.01%,85
"11/30/2020 23:32",1.04698,1.04707,1.04698,1.04707,0.0001,+0.01%,121
"11/30/2020 23:31",1.04699,1.04708,1.04695,1.04697,-2.0E-5,0.00%,126
"11/30/2020 23:30",1.047,1.04707,1.04696,1.04699,0,0.00%,103
"11/30/2020 23:29",1.047,1.04701,1.04696,1.04699,-1.0E-5,0.00%,122
"11/30/2020 23:28",1.04713,1.04714,1.047,1.047,-0.00013,-0.01%,118
"11/30/2020 23:27",1.04716,1.04716,1.04709,1.04713,-3.0E-5,0.00%,71
"11/30/2020 23:26",1.04702,1.0472,1.04701,1.04716,0.00015,+0.01%,114
"11/30/2020 23:25",1.04707,1.0471,1.04699,1.04701,-5.0E-5,0.00%,151
"11/30/2020 23:24",1.04711,1.04711,1.04702,1.04706,-5.0E-5,0.00%,114
"11/30/2020 23:23",1.04715,1.04715,1.04706,1.04711,-4.0E-5,0.00%,136
"11/30/2020 23:22",1.04719,1.04728,1.04714,1.04715,-5.0E-5,0.00%,122
"11/30/2020 23:21",1.04715,1.04722,1.04715,1.0472,6.0E-5,+0.01%,83
"11/30/2020 23:20",1.04713,1.04715,1.04709,1.04714,2.0E-5,0.00%,93
"11/30/2020 23:19",1.04703,1.04722,1.04703,1.04712,9.0E-5,+0.01%,134
"11/30/2020 23:18",1.04706,1.04708,1.04702,1.04703,-3.0E-5,0.00%,85
"11/30/2020 23:17",1.04692,1.04708,1.04692,1.04706,0.00014,+0.01%,122
"11/30/2020 23:16",1.04698,1.047,1.04692,1.04692,-7.0E-5,-0.01%,80
"11/30/2020 23:15",1.04693,1.04702,1.04693,1.04699,5.0E-5,0.00%,157
"11/30/2020 23:14",1.04701,1.04706,1.04694,1.04694,-7.0E-5,-0.01%,135
"11/30/2020 23:13",1.047,1.04705,1.04698,1.04701,1.0E-5,0.00%,68
"11/30/2020 23:12",1.04704,1.04707,1.047,1.047,-5.0E-5,0.00%,72
"11/30/2020 23:11",1.04713,1.04713,1.04703,1.04705,-8.0E-5,-0.01%,106
"11/30/2020 23:10",1.04707,1.04715,1.04705,1.04713,7.0E-5,+0.01%,90
"11/30/2020 23:09",1.04703,1.04708,1.04701,1.04706,2.0E-5,0.00%,118
"11/30/2020 23:08",1.04702,1.04704,1.04696,1.04704,2.0E-5,0.00%,107
"11/30/2020 23:07",1.04698,1.04704,1.04697,1.04702,4.0E-5,0.00%,150
"11/30/2020 23:06",1.04699,1.047,1.04695,1.04698,-1.0E-5,0.00%,121
"11/30/2020 23:05",1.04702,1.04705,1.04692,1.04699,-3.0E-5,0.00%,148
"11/30/2020 23:04",1.04712,1.04714,1.04699,1.04702,-9.0E-5,-0.01%,146
"11/30/2020 23:03",1.0471,1.04714,1.04709,1.04711,1.0E-5,0.00%,39
"11/30/2020 23:02",1.04703,1.04711,1.04703,1.0471,7.0E-5,+0.01%,85
"11/30/2020 23:01",1.04711,1.04714,1.04702,1.04703,-7.0E-5,-0.01%,84
"11/30/2020 23:00",1.04712,1.0472,1.0471,1.0471,-1.0E-5,0.00%,133
"11/30/2020 22:59",1.04722,1.04722,1.0471,1.04711,-0.0001,-0.01%,109
"11/30/2020 22:58",1.04717,1.04723,1.04716,1.04721,5.0E-5,0.00%,105
"11/30/2020 22:57",1.04707,1.04717,1.04707,1.04716,8.0E-5,+0.01%,100
"11/30/2020 22:56",1.04693,1.04709,1.04692,1.04708,0.00015,+0.01%,82
"11/30/2020 22:55",1.04694,1.04695,1.04691,1.04693,-1.0E-5,0.00%,87
"11/30/2020 22:54",1.04692,1.04696,1.04689,1.04694,2.0E-5,0.00%,108
"11/30/2020 22:53",1.04684,1.04692,1.04684,1.04692,8.0E-5,+0.01%,57
"11/30/2020 22:52",1.04682,1.04684,1.04677,1.04684,2.0E-5,0.00%,81
"11/30/2020 22:51",1.0469,1.04691,1.0468,1.04682,-8.0E-5,-0.01%,83
"11/30/2020 22:50",1.04688,1.04692,1.04687,1.0469,3.0E-5,0.00%,40
"11/30/2020 22:49",1.04692,1.04695,1.04681,1.04687,-6.0E-5,-0.01%,104
"11/30/2020 22:48",1.04692,1.04693,1.04684,1.04693,0,0.00%,96
"11/30/2020 22:47",1.04691,1.04694,1.04688,1.04693,3.0E-5,0.00%,70
"11/30/2020 22:46",1.04672,1.04691,1.04669,1.0469,0.00017,+0.02%,107
"11/30/2020 22:45",1.04679,1.0468,1.0467,1.04673,-6.0E-5,-0.01%,91
"11/30/2020 22:44",1.04674,1.04679,1.04674,1.04679,5.0E-5,0.00%,72
"11/30/2020 22:43",1.04666,1.04675,1.04665,1.04674,8.0E-5,+0.01%,125
"11/30/2020 22:42",1.04663,1.04671,1.04663,1.04666,3.0E-5,0.00%,64
"11/30/2020 22:41",1.04665,1.04667,1.04663,1.04663,-1.0E-5,0.00%,62
"11/30/2020 22:40",1.04662,1.04664,1.04657,1.04664,2.0E-5,0.00%,74
"11/30/2020 22:39",1.0466,1.04669,1.04656,1.04662,0,0.00%,81
"11/30/2020 22:38",1.04655,1.04662,1.04655,1.04662,7.0E-5,+0.01%,67
"11/30/2020 22:37",1.04653,1.04659,1.04648,1.04655,3.0E-5,0.00%,88
"11/30/2020 22:36",1.04659,1.04661,1.04651,1.04652,-7.0E-5,-0.01%,96
"11/30/2020 22:35",1.04653,1.04662,1.04652,1.04659,6.0E-5,+0.01%,148
"11/30/2020 22:34",1.04658,1.04658,1.0465,1.04653,-4.0E-5,0.00%,103
"11/30/2020 22:33",1.04667,1.04669,1.04655,1.04657,-0.00011,-0.01%,154
"11/30/2020 22:32",1.04669,1.04672,1.04666,1.04668,-1.0E-5,0.00%,111
"11/30/2020 22:31",1.04671,1.04673,1.04665,1.04669,-3.0E-5,0.00%,101
"11/30/2020 22:30",1.04667,1.04672,1.04664,1.04672,5.0E-5,0.00%,111
"11/30/2020 22:29",1.04662,1.0467,1.0466,1.04667,4.0E-5,0.00%,76
