Time,Open,High,Low,Last,Change,Volume
"11/30/2020 17:10",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:17",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:16",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:15",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:14",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:13",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:12",6517.8,6517.8,6517.8,6517.8,0,0
"11/30/2020 16:11",6517.8,6517.8,6517.8,6517.8,-37.2,0
"11/30/2020 16:10",6555,6555,6555,6555,0,0
"11/30/2020 16:09",6555,6555,6555,6555,0,0
"11/30/2020 16:08",6555,6555,6555,6555,0,0
"11/30/2020 16:07",6555,6555,6555,6555,0,0
"11/30/2020 16:06",6555,6555,6555,6555,0,0
"11/30/2020 16:05",6555,6555,6555,6555,0,0
"11/30/2020 16:04",6555,6555,6555,6555,0,0
"11/30/2020 16:03",6555,6555,6555,6555,0,0
"11/30/2020 16:02",6555,6555,6555,6555,0,0
"11/30/2020 16:01",6555,6555,6555,6555,0,0
"11/30/2020 16:00",6555.1,6555.1,6555,6555,-2.3,0
"11/30/2020 15:59",6553.4,6557.3,6553.4,6557.3,4.2,0
"11/30/2020 15:58",6551.8,6553.1,6551.8,6553.1,2.6,0
"11/30/2020 15:57",6553.4,6553.4,6550.5,6550.5,-4.1,0
"11/30/2020 15:56",6554.4,6554.6,6554.4,6554.6,-0.9,0
"11/30/2020 15:55",6556.8,6556.8,6555.5,6555.5,-0.9,0
"11/30/2020 15:54",6554.5,6556.4,6554.5,6556.4,0.9,0
"11/30/2020 15:53",6555.7,6555.7,6555.5,6555.5,0.5,0
"11/30/2020 15:52",6553.2,6555,6553.2,6555,2,0
"11/30/2020 15:51",6552.5,6553,6552.5,6553,1.6,0
"11/30/2020 15:50",6550.6,6551.4,6550.6,6551.4,0.8,0
"11/30/2020 15:49",6551.5,6551.5,6550.6,6550.6,-0.7,0
"11/30/2020 15:48",6554.3,6554.3,6551.3,6551.3,-3.3,0
"11/30/2020 15:47",6555.1,6555.1,6554.6,6554.6,0.6,0
"11/30/2020 15:46",6553.7,6554,6553.7,6554,1.6,0
"11/30/2020 15:45",6550.7,6552.4,6550.7,6552.4,1.8,0
"11/30/2020 15:44",6552.5,6552.5,6550.6,6550.6,1.1,0
"11/30/2020 15:43",6550.2,6550.2,6549.5,6549.5,-1.6,0
"11/30/2020 15:42",6554.5,6554.5,6551.1,6551.1,-2.4,0
"11/30/2020 15:41",6553.3,6553.5,6553.3,6553.5,0.8,0
"11/30/2020 15:40",6554.7,6554.7,6552.7,6552.7,-2.1,0
"11/30/2020 15:39",6556,6556,6554.8,6554.8,-1.3,0
"11/30/2020 15:38",6555.5,6556.1,6555.5,6556.1,1.8,0
"11/30/2020 15:37",6553.2,6554.3,6553.2,6554.3,0.2,0
"11/30/2020 15:36",6553.7,6554.1,6553.7,6554.1,0.8,0
"11/30/2020 15:35",6552.8,6553.3,6552.8,6553.3,1.3,0
"11/30/2020 15:34",6550.9,6552,6550.9,6552,1.3,0
"11/30/2020 15:33",6550.2,6550.7,6550.2,6550.7,2.4,0
"11/30/2020 15:32",6549.7,6549.7,6548.3,6548.3,-1.4,0
"11/30/2020 15:31",6548.6,6549.7,6548.6,6549.7,1.4,0
"11/30/2020 15:30",6549,6549,6548.3,6548.3,0.8,0
"11/30/2020 15:29",6546.8,6547.5,6546.8,6547.5,0.3,0
"11/30/2020 15:28",6550.7,6550.7,6547.2,6547.2,-4.5,0
"11/30/2020 15:27",6551.4,6551.7,6551.4,6551.7,0.6,0
"11/30/2020 15:26",6550.2,6551.1,6550.2,6551.1,2,0
"11/30/2020 15:25",6549.1,6549.1,6549.1,6549.1,1.1,0
"11/30/2020 15:24",6545.3,6548,6545.3,6548,3.1,0
"11/30/2020 15:23",6544.9,6544.9,6544.9,6544.9,-1,0
"11/30/2020 15:22",6544.7,6545.9,6544.7,6545.9,1.2,0
"11/30/2020 15:21",6546.4,6546.4,6544.7,6544.7,-3.4,0
"11/30/2020 15:20",6549.4,6549.4,6548.1,6548.1,-1.2,0
"11/30/2020 15:19",6549.5,6549.5,6549.3,6549.3,-0.8,0
"11/30/2020 15:18",6549.8,6550.1,6549.8,6550.1,-0.3,0
"11/30/2020 15:17",6553.2,6553.2,6550.4,6550.4,-1.9,0
"11/30/2020 15:16",6552.9,6552.9,6552.3,6552.3,1.2,0
"11/30/2020 15:15",6551.2,6551.2,6551.1,6551.1,0.1,0
"11/30/2020 15:14",6549.3,6551,6549.3,6551,2.9,0
"11/30/2020 15:13",6548.2,6548.2,6548.1,6548.1,0.8,0
