Time,Open,High,Low,Last,Change,Volume
"10/30/2020 17:14",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:17",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:16",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:15",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:14",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:13",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:12",5927.6,5927.6,5927.6,5927.6,0,0
"10/30/2020 16:11",5927.6,5927.6,5927.6,5927.6,-0.5,0
"10/30/2020 16:10",5928.2,5928.2,5928.1,5928.1,-0.1,0
"10/30/2020 16:09",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:08",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:07",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:06",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:05",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:04",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:03",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:02",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:01",5928.2,5928.2,5928.2,5928.2,0,0
"10/30/2020 16:00",5928.1,5928.2,5928.1,5928.2,-3.2,0
"10/30/2020 15:59",5933.2,5933.2,5931.4,5931.4,-2.7,0
"10/30/2020 15:58",5935,5935,5934.1,5934.1,-0.1,0
"10/30/2020 15:57",5935.1,5935.1,5934.2,5934.2,1.5,0
"10/30/2020 15:56",5931.4,5932.7,5931.4,5932.7,0.1,0
"10/30/2020 15:55",5932.9,5932.9,5932.6,5932.6,-1,0
"10/30/2020 15:54",5934.5,5934.5,5933.6,5933.6,-4.5,0
"10/30/2020 15:53",5939.8,5939.8,5938.1,5938.1,-3.6,0
"10/30/2020 15:52",5942.3,5942.3,5941.7,5941.7,-2.5,0
"10/30/2020 15:51",5945.2,5945.2,5944.2,5944.2,-2.5,0
"10/30/2020 15:50",5944.7,5946.7,5944.7,5946.7,1.1,0
"10/30/2020 15:49",5946.1,5946.1,5945.6,5945.6,-5.5,0
"10/30/2020 15:48",5951.3,5951.3,5951.1,5951.1,-0.2,0
"10/30/2020 15:47",5953.6,5953.6,5951.3,5951.3,-3.2,0
"10/30/2020 15:46",5956.7,5956.7,5954.5,5954.5,-4.7,0
"10/30/2020 15:45",5961.8,5961.8,5959.2,5959.2,-2.5,0
"10/30/2020 15:44",5961.3,5961.7,5961.3,5961.7,-1.1,0
"10/30/2020 15:43",5963.7,5963.7,5962.8,5962.8,-0.7,0
"10/30/2020 15:42",5962.6,5963.5,5962.6,5963.5,0.6,0
"10/30/2020 15:41",5962.1,5962.9,5962.1,5962.9,2.5,0
"10/30/2020 15:40",5960.4,5960.4,5960.4,5960.4,-0.2,0
"10/30/2020 15:39",5959.9,5960.6,5959.9,5960.6,0.4,0
"10/30/2020 15:38",5960.5,5960.5,5960.2,5960.2,-0.4,0
"10/30/2020 15:37",5959.6,5960.6,5959.6,5960.6,0.9,0
"10/30/2020 15:36",5962,5962,5959.7,5959.7,-2.1,0
"10/30/2020 15:35",5961.1,5961.8,5961.1,5961.8,0.8,0
"10/30/2020 15:34",5960.7,5961,5960.7,5961,1.1,0
"10/30/2020 15:33",5960.4,5960.4,5959.9,5959.9,0.7,0
"10/30/2020 15:32",5958.9,5959.2,5958.9,5959.2,-0.3,0
"10/30/2020 15:31",5961.2,5961.2,5959.5,5959.5,-0.6,0
"10/30/2020 15:30",5960.3,5960.3,5960.1,5960.1,-0.2,0
"10/30/2020 15:29",5960.3,5960.3,5960.3,5960.3,-1.1,0
"10/30/2020 15:28",5961.2,5961.4,5961.2,5961.4,1.1,0
"10/30/2020 15:27",5960.5,5960.5,5960.3,5960.3,-1.8,0
"10/30/2020 15:26",5963.2,5963.2,5962.1,5962.1,-1.2,0
"10/30/2020 15:25",5962.4,5963.3,5962.4,5963.3,-0.3,0
"10/30/2020 15:24",5964.9,5964.9,5963.6,5963.6,-1.1,0
"10/30/2020 15:23",5964.9,5964.9,5964.7,5964.7,0.5,0
"10/30/2020 15:22",5964.3,5964.3,5964.2,5964.2,-0.4,0
"10/30/2020 15:21",5965,5965,5964.6,5964.6,0.1,0
"10/30/2020 15:20",5963.6,5964.5,5963.6,5964.5,1.4,0
"10/30/2020 15:19",5964,5964,5963.1,5963.1,0.2,0
"10/30/2020 15:18",5962.3,5962.9,5962.3,5962.9,0.6,0
"10/30/2020 15:17",5961.9,5962.3,5961.9,5962.3,0.3,0
"10/30/2020 15:16",5961.9,5962,5961.9,5962,0.1,0
"10/30/2020 15:15",5962,5962,5961.9,5961.9,2,0
"10/30/2020 15:14",5959.1,5959.9,5959.1,5959.9,0.8,0
"10/30/2020 15:13",5959.6,5959.6,5959.1,5959.1,0.3,0
"10/30/2020 15:12",5959.2,5959.2,5958.8,5958.8,0.2,0
"10/30/2020 15:11",5958.6,5958.6,5958.6,5958.6,0.8,0
"10/30/2020 15:10",5959.4,5959.4,5957.8,5957.8,-1.8,0
"10/30/2020 15:09",5958.9,5959.6,5958.9,5959.6,0.3,0
"10/30/2020 15:08",5959,5959.3,5959,5959.3,-0.1,0
"10/30/2020 15:07",5958.4,5959.4,5958.4,5959.4,1.2,0
"10/30/2020 15:06",5958.7,5958.7,5958.2,5958.2,-0.3,0
"10/30/2020 15:05",5958.7,5958.7,5958.5,5958.5,0.2,0
"10/30/2020 15:04",5957.3,5958.3,5957.3,5958.3,-0.4,0
"10/30/2020 15:03",5956.8,5958.7,5956.8,5958.7,2.3,0
"10/30/2020 15:02",5957.3,5957.3,5956.4,5956.4,-1,0
"10/30/2020 15:01",5955.8,5957.4,5955.8,5957.4,3.5,0
"10/30/2020 15:00",5954.4,5954.4,5953.9,5953.9,-0.4,0
"10/30/2020 14:59",5952.7,5954.3,5952.7,5954.3,2.5,0
"10/30/2020 14:58",5950.7,5951.8,5950.7,5951.8,0.6,0
"10/30/2020 14:57",5950.6,5951.2,5950.6,5951.2,-0.5,0
"10/30/2020 14:56",5951.6,5951.7,5951.6,5951.7,0.4,0
"10/30/2020 14:55",5950.6,5951.3,5950.6,5951.3,0.3,0
"10/30/2020 14:54",5950.4,5951,5950.4,5951,1.9,0
"10/30/2020 14:53",5948.6,5949.1,5948.6,5949.1,0.3,0
"10/30/2020 14:52",5949.1,5949.1,5948.8,5948.8,0.5,0
"10/30/2020 14:51",5948.4,5948.4,5948.3,5948.3,-1.7,0
"10/30/2020 14:50",5949.3,5950,5949.3,5950,2.9,0
"10/30/2020 14:49",5945.9,5947.1,5945.9,5947.1,1.1,0
"10/30/2020 14:48",5946.3,5946.3,5946,5946,-0.3,0
"10/30/2020 14:47",5947.2,5947.2,5946.3,5946.3,-0.9,0
"10/30/2020 14:46",5946.9,5947.2,5946.9,5947.2,2,0
"10/30/2020 14:45",5945.7,5945.7,5945.2,5945.2,1,0
"10/30/2020 14:44",5945.1,5945.1,5944.2,5944.2,-1.1,0
"10/30/2020 14:43",5948,5948,5945.3,5945.3,-1.8,0
"10/30/2020 14:42",5949.9,5949.9,5947.1,5947.1,-2.5,0
"10/30/2020 14:41",5949.8,5949.8,5949.6,5949.6,-0.8,0
"10/30/2020 14:40",5949.5,5950.4,5949.5,5950.4,2.9,0
"10/30/2020 14:39",5947.7,5947.7,5947.5,5947.5,-0.9,0
"10/30/2020 14:38",5948.6,5948.6,5948.4,5948.4,-0.8,0
"10/30/2020 14:37",5947.2,5949.2,5947.2,5949.2,1.1,0
"10/30/2020 14:36",5948.3,5948.3,5948.1,5948.1,0.1,0
"10/30/2020 14:35",5948.7,5948.7,5948,5948,-0.1,0
"10/30/2020 14:34",5948.1,5948.1,5948.1,5948.1,0,0
"10/30/2020 14:33",5947.2,5948.1,5947.2,5948.1,2.7,0
"10/30/2020 14:32",5945.3,5945.4,5945.3,5945.4,-2.1,0
"10/30/2020 14:31",5947.8,5947.8,5947.5,5947.5,1.7,0
"10/30/2020 14:30",5944,5945.8,5944,5945.8,2,0
"10/30/2020 14:29",5943,5943.8,5943,5943.8,-2.5,0
"10/30/2020 14:28",5946.2,5946.3,5946.2,5946.3,0.3,0
"10/30/2020 14:27",5945.7,5946,5945.7,5946,0.5,0
"10/30/2020 14:26",5946,5946,5945.5,5945.5,-2.4,0
"10/30/2020 14:25",5949.6,5949.6,5947.9,5947.9,-1.9,0
"10/30/2020 14:24",5948.5,5949.8,5948.5,5949.8,1.9,0
"10/30/2020 14:23",5947.2,5947.9,5947.2,5947.9,0.4,0
"10/30/2020 14:22",5947.7,5947.7,5947.5,5947.5,-0.1,0
"10/30/2020 14:21",5947.7,5947.7,5947.6,5947.6,-0.5,0
"10/30/2020 14:20",5948.3,5948.3,5948.1,5948.1,-0.3,0
"10/30/2020 14:19",5946.6,5948.4,5946.6,5948.4,3.2,0
"10/30/2020 14:18",5944.6,5945.2,5944.6,5945.2,0.3,0
"10/30/2020 14:17",5944.1,5944.9,5944.1,5944.9,1.3,0
"10/30/2020 14:16",5944.3,5944.3,5943.6,5943.6,-2.2,0
"10/30/2020 14:15",5945.9,5945.9,5945.8,5945.8,0.6,0
"10/30/2020 14:14",5944.8,5945.2,5944.8,5945.2,0.7,0
"10/30/2020 14:13",5947,5947,5944.5,5944.5,-2.9,0
"10/30/2020 14:12",5947.1,5947.4,5947.1,5947.4,1,0
"10/30/2020 14:11",5947.2,5947.2,5946.4,5946.4,-1.4,0
"10/30/2020 14:10",5948.4,5948.4,5947.8,5947.8,-0.1,0
"10/30/2020 14:09",5948.1,5948.1,5947.9,5947.9,-0.5,0
"10/30/2020 14:08",5949.2,5949.2,5948.4,5948.4,-0.6,0
"10/30/2020 14:07",5948.8,5949,5948.8,5949,0.5,0
"10/30/2020 14:06",5949,5949,5948.5,5948.5,1.9,0
"10/30/2020 14:05",5945.6,5946.6,5945.6,5946.6,1.6,0
"10/30/2020 14:04",5945.6,5945.6,5945,5945,-0.1,0
"10/30/2020 14:03",5944.1,5945.1,5944.1,5945.1,2.2,0
