Time,Open,High,Low,Last,Change,%Chg,Volume
"05/29/2020 17:00",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:17",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:16",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:15",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:14",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:13",5755.7,5755.7,5755.7,5755.7,0,0.00%,0
"05/29/2020 16:12",5755.7,5755.7,5755.7,5755.7,-0.3,-0.01%,0
"05/29/2020 16:11",5784,5784,5756,5756,-33.8,-0.58%,0
"05/29/2020 16:10",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:09",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:08",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:07",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:06",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:05",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:04",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:03",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:02",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:01",5789.8,5789.8,5789.8,5789.8,0,0.00%,0
"05/29/2020 16:00",5790.9,5790.9,5789.8,5789.8,-0.9,-0.02%,0
"05/29/2020 15:59",5787.4,5790.7,5787.4,5790.7,5.4,+0.09%,0
"05/29/2020 15:58",5787.6,5787.6,5785.3,5785.3,-3.4,-0.06%,0
"05/29/2020 15:57",5786.9,5788.7,5786.9,5788.7,0.3,+0.01%,0
"05/29/2020 15:56",5791.5,5791.5,5788.4,5788.4,-0.9,-0.02%,0
"05/29/2020 15:55",5790.7,5790.7,5789.3,5789.3,-3.2,-0.06%,0
"05/29/2020 15:54",5792.6,5792.6,5792.5,5792.5,-2,-0.03%,0
"05/29/2020 15:53",5797,5797,5794.5,5794.5,-1.6,-0.03%,0
"05/29/2020 15:52",5796.1,5796.1,5796.1,5796.1,-1.9,-0.03%,0
"05/29/2020 15:51",5799.3,5799.3,5798,5798,1.4,+0.02%,0
"05/29/2020 15:50",5797,5797,5796.6,5796.6,-1.3,-0.02%,0
"05/29/2020 15:49",5799.2,5799.2,5797.9,5797.9,-4.4,-0.08%,0
"05/29/2020 15:48",5803.8,5803.8,5802.3,5802.3,0.4,+0.01%,0
"05/29/2020 15:47",5798.8,5801.9,5798.8,5801.9,3.9,+0.07%,0
"05/29/2020 15:46",5800.7,5800.7,5798,5798,-6.4,-0.11%,0
"05/29/2020 15:45",5807.5,5807.5,5804.4,5804.4,-1.8,-0.03%,0
"05/29/2020 15:44",5803.6,5806.2,5803.6,5806.2,2.9,+0.05%,0
"05/29/2020 15:43",5800.7,5803.3,5800.7,5803.3,4.1,+0.07%,0
"05/29/2020 15:42",5796.2,5799.2,5796.2,5799.2,5.2,+0.09%,0
"05/29/2020 15:41",5796,5796,5794,5794,-4.2,-0.07%,0
"05/29/2020 15:40",5800.3,5800.3,5798.2,5798.2,-2.6,-0.04%,0
"05/29/2020 15:39",5799.3,5800.8,5799.3,5800.8,1.2,+0.02%,0
"05/29/2020 15:38",5802.7,5802.7,5799.6,5799.6,-5.4,-0.09%,0
"05/29/2020 15:37",5804.8,5805,5804.8,5805,0.7,+0.01%,0
"05/29/2020 15:36",5804.1,5804.3,5804.1,5804.3,1.5,+0.03%,0
"05/29/2020 15:35",5803.6,5803.6,5802.8,5802.8,-0.8,-0.01%,0
"05/29/2020 15:34",5806.3,5806.3,5803.6,5803.6,-4.4,-0.08%,0
"05/29/2020 15:33",5806.3,5808,5806.3,5808,3.1,+0.05%,0
"05/29/2020 15:32",5800.7,5804.9,5800.7,5804.9,5.3,+0.09%,0
"05/29/2020 15:31",5799,5799.6,5799,5799.6,-1.2,-0.02%,0
"05/29/2020 15:30",5802,5802,5800.8,5800.8,0.3,+0.01%,0
"05/29/2020 15:29",5801.6,5801.6,5800.5,5800.5,-2.6,-0.04%,0
"05/29/2020 15:28",5805.9,5805.9,5803.1,5803.1,-3,-0.05%,0
"05/29/2020 15:27",5808.9,5808.9,5806.1,5806.1,-3.2,-0.06%,0
"05/29/2020 15:26",5809,5809.3,5809,5809.3,-1.3,-0.02%,0
"05/29/2020 15:25",5812.9,5812.9,5810.6,5810.6,-2.3,-0.04%,0
"05/29/2020 15:24",5812.3,5812.9,5812.3,5812.9,0.6,+0.01%,0
"05/29/2020 15:23",5810.8,5812.3,5810.8,5812.3,2.9,+0.05%,0
"05/29/2020 15:22",5809.9,5809.9,5809.4,5809.4,-0.4,-0.01%,0
"05/29/2020 15:21",5810.2,5810.2,5809.8,5809.8,-0.8,-0.01%,0
"05/29/2020 15:20",5810,5810.6,5810,5810.6,-4.3,-0.07%,0
"05/29/2020 15:19",5817,5817,5814.9,5814.9,-1.8,-0.03%,0
"05/29/2020 15:18",5817.1,5817.1,5816.7,5816.7,-1.5,-0.03%,0
"05/29/2020 15:17",5817.7,5818.2,5817.7,5818.2,0.1,0.00%,0
"05/29/2020 15:16",5820.4,5820.4,5818.1,5818.1,-3.2,-0.05%,0
"05/29/2020 15:15",5822.1,5822.1,5821.3,5821.3,0,0.00%,0
"05/29/2020 15:14",5820.5,5821.3,5820.5,5821.3,2.3,+0.04%,0
"05/29/2020 15:13",5819.3,5819.3,5819,5819,-1.6,-0.03%,0
"05/29/2020 15:12",5822.1,5822.1,5820.6,5820.6,0.3,+0.01%,0
"05/29/2020 15:11",5821.3,5821.3,5820.3,5820.3,1.1,+0.02%,0
"05/29/2020 15:10",5819.5,5819.5,5819.2,5819.2,0.5,+0.01%,0
"05/29/2020 15:09",5819,5819,5818.7,5818.7,-0.9,-0.02%,0
"05/29/2020 15:08",5819,5819.6,5819,5819.6,3.3,+0.06%,0
"05/29/2020 15:07",5816,5816.3,5816,5816.3,1.9,+0.03%,0
"05/29/2020 15:06",5814.2,5814.4,5814.2,5814.4,0.7,+0.01%,0
