Time,Open,High,Low,Last,Change,Volume
"02/28/2018 16:45",6016,6016,6016,6016,0,0
"02/28/2018 16:15",6016,6016,6016,6016,0,0
"02/28/2018 16:00",6017.3,6017.5,6016,6016,-1.7,0
"02/28/2018 15:45",6016.9,6019.5,6015.7,6017.7,0.8,0
"02/28/2018 15:30",6014.2,6017.8,6014.2,6016.9,1.9,0
"02/28/2018 15:15",6016.6,6016.6,6013.5,6015,-1.5,0
"02/28/2018 15:00",6018.2,6018.9,6014.6,6016.5,-0.9,0
"02/28/2018 14:45",6014.3,6017.9,6012.6,6017.4,2.8,0
"02/28/2018 14:30",6022.5,6022.5,6014.6,6014.6,-8.3,0
"02/28/2018 14:15",6021.1,6022.9,6020,6022.9,1.8,0
"02/28/2018 14:00",6027.6,6030.2,6021.1,6021.1,-6.7,0
"02/28/2018 13:45",6028.2,6029.8,6027.4,6027.8,0.8,0
"02/28/2018 13:30",6026.6,6029.3,6026.4,6027,0.6,0
"02/28/2018 13:15",6029.5,6030.9,6026,6026.4,-3.4,0
"02/28/2018 13:00",6028.6,6032,6028.1,6029.8,0.6,0
"02/28/2018 12:45",6030.9,6031.2,6029.2,6029.2,-1.6,0
"02/28/2018 12:30",6033,6034.1,6030.4,6030.8,-3.1,0
"02/28/2018 12:15",6033.7,6034,6031.8,6033.9,1.2,0
"02/28/2018 12:00",6036.7,6037.6,6031.7,6032.7,-4.7,0
"02/28/2018 11:45",6037.7,6039.3,6034.8,6037.4,-0.1,0
"02/28/2018 11:30",6038.2,6040.2,6033.9,6037.5,-1.3,0
"02/28/2018 11:15",6030.6,6039.7,6030.1,6038.8,8.5,0
"02/28/2018 11:00",6026.7,6030.3,6026.7,6030.3,2.5,0
"02/28/2018 10:45",6033.8,6034.4,6027.8,6027.8,-4,0
"02/28/2018 10:30",6031.3,6038.2,6029.7,6031.8,1.9,0
"02/28/2018 10:15",6032.4,6042.8,6029.7,6029.9,-4,0
"02/28/2018 10:00",6056.9,6056.9,6033.9,6033.9,-23,0
"02/27/2018 16:45",6056.9,6056.9,6056.9,6056.9,0,0
"02/27/2018 16:15",6056.9,6056.9,6056.9,6056.9,0,0
"02/27/2018 16:00",6059.1,6059.1,6056.9,6056.9,-4.1,0
"02/27/2018 15:45",6061.2,6062.1,6059.2,6061,-0.6,0
"02/27/2018 15:30",6062.2,6063.1,6059.9,6061.6,-1,0
"02/27/2018 15:15",6070.6,6070.7,6060.8,6062.6,-8.9,0
"02/27/2018 15:00",6073.4,6073.4,6070.5,6071.5,-2.3,0
"02/27/2018 14:45",6071.8,6076.6,6071.1,6073.8,2.3,0
"02/27/2018 14:30",6069.2,6072.3,6069.2,6071.5,2,0
"02/27/2018 14:15",6070.5,6071.1,6068.1,6069.5,-1,0
"02/27/2018 14:00",6073.8,6073.8,6070.5,6070.5,-3.3,0
"02/27/2018 13:45",6074,6075.6,6072.6,6073.8,-0.3,0
"02/27/2018 13:30",6075.9,6076.8,6073.5,6074.1,-2.7,0
"02/27/2018 13:15",6076.9,6077.9,6075.7,6076.8,-0.1,0
"02/27/2018 13:00",6081.3,6081.8,6076.6,6076.9,-3.9,0
"02/27/2018 12:45",6080.6,6083,6078.7,6080.8,0.3,0
"02/27/2018 12:30",6075,6081.7,6075,6080.5,5.3,0
"02/27/2018 12:15",6078.8,6078.8,6075.1,6075.2,-2.1,0
"02/27/2018 12:00",6076.8,6078.3,6075.2,6077.3,1.7,0
"02/27/2018 11:45",6073,6077.6,6073,6075.6,1.4,0
"02/27/2018 11:30",6072.8,6075.2,6071.3,6074.2,0.2,0
"02/27/2018 11:15",6070.8,6075.5,6070.8,6074,4.1,0
"02/27/2018 11:00",6070,6070.9,6067.2,6069.9,0,0
"02/27/2018 10:45",6072.2,6075.5,6069.9,6069.9,-1.2,0
"02/27/2018 10:30",6074.2,6075.2,6071.1,6071.1,-3.8,0
"02/27/2018 10:15",6076.3,6079.4,6074.5,6074.9,-0.3,0
