Time,Open,High,Low,Last,Change,Volume
12/18/2020,6756.7,6765.7,6675.5,6675.5,-81.2,0
12/17/2020,6679.2,6756.7,6679.2,6756.7,77.5,0
12/16/2020,6631.3,6719.6,6631.3,6679.2,47.9,0
12/15/2020,6660.2,6660.2,6625.7,6631.3,-28.9,0
12/14/2020,6642.6,6693.7,6642.6,6660.2,17.6,0
12/11/2020,6683.1,6688.2,6632.3,6642.6,-40.5,0
12/10/2020,6728.5,6728.5,6678.3,6683.1,-45.4,0
12/09/2020,6687.7,6745.3,6687.7,6728.5,40.8,0
12/08/2020,6675,6699.4,6658.9,6687.7,12.7,0
12/07/2020,6634.3,6714.7,6634.3,6675,40.9,0
12/04/2020,6615.3,6650.1,6613.9,6634.1,18.8,0
12/03/2020,6590.2,6628.2,6590.2,6615.3,25.1,0
12/02/2020,6588.5,6616,6561.5,6590.2,1.7,0
12/01/2020,6517.8,6613.5,6511.4,6588.5,70.7,0
11/30/2020,6601.1,6641.1,6517.8,6517.8,-83.3,0
11/27/2020,6636.4,6636.4,6587.9,6601.1,-35.3,0
11/26/2020,6683.3,6686.4,6636.4,6636.4,-46.9,0
11/25/2020,6644.1,6713.3,6644.1,6683.3,39.2,0
11/24/2020,6561.6,6661.4,6561.6,6644.1,82.5,0
11/23/2020,6539.2,6594,6539.2,6561.6,22.4,0
11/20/2020,6547.2,6562.1,6535.6,6539.2,-8,0
11/19/2020,6531.1,6547.2,6498,6547.2,16.1,0
11/18/2020,6498.2,6541.2,6494.7,6531.1,32.9,0
11/17/2020,6484.3,6530.4,6484.3,6498.2,13.9,0
11/16/2020,6422.9,6487.3,6422.9,6484.3,79.1,0
11/13/2020,6418.4,6418.4,6377.6,6405.2,-13,0
11/12/2020,6449.7,6470.9,6399.6,6418.2,-31.5,0
11/11/2020,6340.5,6451,6340.5,6449.7,109.2,0
11/10/2020,6298.8,6438.2,6298.8,6340.5,41.7,0
11/09/2020,6190.2,6303.1,6190.2,6298.8,108.6,0
11/06/2020,6139.6,6202.3,6139.6,6190.2,50.6,0
11/05/2020,6062.1,6143.7,6062.1,6139.6,77.5,0
11/04/2020,6066.4,6096.4,5986,6062.1,-4.3,0
11/03/2020,5951.3,6090.8,5951.3,6066.4,115.1,0
11/02/2020,5927.6,5960.6,5904.1,5951.3,23.7,0
10/30/2020,5960.3,5986.6,5927.6,5927.6,-32.7,0
10/29/2020,6057.7,6057.7,5940,5960.3,-97.4,0
10/28/2020,6051,6075.6,6020.2,6057.7,6.7,0
10/27/2020,6155.6,6155.6,6033.8,6051,-104.6,0
10/26/2020,6167,6206.5,6154.8,6155.6,-11.4,0
10/23/2020,6173.8,6184.2,6148.4,6167,-6.8,0
10/22/2020,6191.8,6191.8,6100.6,6173.8,-18,0
10/21/2020,6184.6,6206.3,6181.2,6191.8,7.2,0
10/20/2020,6229.4,6241.1,6181.1,6184.6,-44.8,0
10/19/2020,6176.8,6248.3,6176.8,6229.4,52.6,0
10/16/2020,6210.3,6216.2,6165,6176.8,-33.5,0
10/15/2020,6179.2,6233.4,6179.2,6210.3,31.1,0
10/14/2020,6195.7,6198.4,6174.7,6179.2,-16.5,0
10/13/2020,6132,6214.7,6132,6195.7,63.7,0
10/12/2020,6102.2,6132,6093.1,6132,29.8,0
10/09/2020,6102,6127.4,6087.6,6102.2,0.2,0
10/08/2020,6036.4,6123.4,6036.4,6102,65.6,0
10/07/2020,5962.1,6043.8,5944.7,6036.4,74.3,0
10/06/2020,5941.6,5963.9,5912.7,5962.1,20.5,0
10/05/2020,5791.5,5942.8,5791.5,5941.6,150.1,0
10/02/2020,5872.9,5872.9,5779.6,5791.5,-81.4,0
10/01/2020,5815.9,5916.5,5815.9,5872.9,57,0
09/30/2020,5952,5952,5815.9,5815.9,-136.2,0
09/29/2020,5952.3,5995.4,5935.1,5952.1,-0.2,0
09/28/2020,5964.9,5977.3,5941,5952.3,-12.6,0
09/25/2020,5875.9,5973.7,5875.9,5964.9,89,0
09/24/2020,5923.9,5923.9,5824.8,5875.9,-48,0
09/23/2020,5784.1,5933.3,5784.1,5923.9,139.8,0
09/22/2020,5822.6,5822.6,5763.2,5784.1,-38.5,0
09/21/2020,5864.5,5868.5,5808.2,5822.6,-41.9,0
09/18/2020,5883.2,5921.4,5864.5,5864.5,-18.7,0
09/17/2020,5956.1,5956.5,5883.2,5883.2,-72.9,0
09/16/2020,5894.8,5958.5,5894.8,5956.1,61.3,0
09/15/2020,5899.5,5919.2,5883.9,5894.8,-4.7,0
09/14/2020,5859.4,5903.2,5859.4,5899.5,40.1,0
09/11/2020,5908.5,5908.5,5836.2,5859.4,-49.1,0
09/10/2020,5878.6,5955.7,5874.8,5908.5,29.9,0
09/09/2020,6007.8,6007.8,5849.4,5878.6,-129.2,0
09/08/2020,5944.8,6025.5,5944.8,6007.8,63,0
09/07/2020,5925.5,5958.9,5869.9,5944.8,19.3,0
09/04/2020,6112.6,6112.6,5918.8,5925.5,-187.1,0
09/03/2020,6063.2,6130.8,6063.2,6112.6,49.4,0
09/02/2020,5953.4,6075.7,5953.4,6063.2,109.8,0
09/01/2020,6060.5,6060.5,5908.9,5953.4,-107.1,0
08/31/2020,6073.8,6093.9,6060.5,6060.5,-13.3,0
08/28/2020,6126.2,6126.2,6056,6073.8,-52.4,0
08/27/2020,6116.4,6159.8,6116.4,6126.2,9.8,0
08/26/2020,6160.4,6160.4,6079.8,6116.4,-45,0
08/25/2020,6129.6,6199.2,6129.6,6161.4,31.8,0
08/24/2020,6111.2,6134.8,6094.7,6129.6,18.4,0
08/21/2020,6120,6166.4,6104.8,6111.2,-8.8,0
08/20/2020,6167.6,6167.6,6096.7,6120,-47.6,0
08/19/2020,6123.4,6196.6,6122.5,6167.6,44.2,0
08/18/2020,6076.4,6139.3,6075.6,6123.4,47,0
08/17/2020,6126.2,6126.2,6059.3,6076.4,-49.8,0
08/14/2020,6091,6139.1,6091,6126.2,35.2,0
08/13/2020,6132,6157.3,6075.8,6091,-41,0
08/12/2020,6138.7,6154.5,6101.1,6132,-6.7,0
08/11/2020,6110.2,6186.1,6110.2,6138.7,28.5,0
08/10/2020,6004.8,6125.3,6004.8,6110.2,105.4,0
08/07/2020,6042.2,6042.2,5993.4,6004.8,-37.4,0
08/06/2020,6001.3,6049.3,6001.3,6042.2,40.9,0
08/05/2020,6037.6,6037.6,5964.9,6001.3,-36.3,0
08/04/2020,5926.1,6059.5,5926.1,6037.6,111.5,0
08/03/2020,5927.8,5947.1,5860.7,5926.1,-1.7,0
07/31/2020,6051.1,6051.1,5893.2,5927.8,-123.3,0
07/30/2020,6006.4,6067,6006.4,6051.1,44.7,0
07/29/2020,6020.5,6051.1,6000.7,6006.4,-14.1,0
07/28/2020,6044.2,6113.8,6019.8,6020.5,-23.7,0
07/27/2020,6024,6044.5,6013.1,6044.2,20.2,0
07/24/2020,6094.5,6094.5,6010.7,6024,-70.5,0
07/23/2020,6075.1,6102.7,6052.1,6094.5,19.4,0
07/22/2020,6156.3,6156.3,6055.5,6075.1,-81.2,0
07/21/2020,6001.6,6160.6,6001.6,6156.3,154.7,0
07/20/2020,6033.6,6038.8,5991.9,6001.6,-32,0
07/17/2020,6010.9,6042.4,5999.4,6033.6,22.7,0
07/16/2020,6052.9,6078,5989.9,6010.9,-42,0
07/15/2020,5941.1,6052.9,5941.1,6052.9,111.8,0
07/14/2020,5977.5,5977.5,5918.8,5941.1,-36.4,0
07/13/2020,5998.4,6007.4,5919.2,5977.5,58.3,0
07/10/2020,5955.5,5956.2,5899.5,5919.2,-36.3,0
07/09/2020,5920.3,5998.8,5920.3,5955.5,35.2,0
07/08/2020,6012.9,6018.4,5920.3,5920.3,-92.6,0
07/07/2020,6014.6,6077.3,6004.2,6012.9,-1.7,0
07/06/2020,6057.9,6078.3,6014.6,6014.6,-43.3,0
07/03/2020,6032.7,6101.4,6021.7,6057.9,25.2,0
07/02/2020,5934.4,6034.9,5934.4,6032.7,98.3,0
07/01/2020,5897.9,5953.9,5892.8,5934.4,36.5,0
06/30/2020,5815,5955.2,5815,5897.9,82.9,0
06/29/2020,5904.1,5904.1,5773.2,5815,-89.1,0
06/26/2020,5817.7,5913.6,5817.7,5904.1,86.4,0
06/25/2020,5965.7,5965.7,5817.7,5817.7,-148,0
06/24/2020,5954.4,5992.8,5942.3,5965.7,11.3,0
06/23/2020,5944.5,5999.2,5882.8,5954.4,9.9,0
06/22/2020,5942.6,5972.6,5881.1,5944.5,1.9,0
06/19/2020,5936.5,6006.3,5929.9,5942.6,6.1,0
06/18/2020,5991.8,5991.8,5888.7,5936.5,-55.3,0
06/17/2020,5942.3,5991.8,5931.5,5991.8,49.5,0
06/16/2020,5719.8,5975.8,5719.8,5942.3,222.5,0
06/15/2020,5847.8,5857.7,5719.8,5719.8,-128,0
06/12/2020,5960.6,5960.6,5756.5,5847.8,-112.8,0
06/11/2020,6148.4,6148.4,5949.6,5960.6,-187.8,0
06/10/2020,6144.9,6182.3,6089.7,6148.4,3.5,0
06/09/2020,5998.7,6198.6,5998.7,6144.9,146.2,0
06/05/2020,5991.8,6017.8,5963,5998.7,6.9,0
06/04/2020,5941.6,6040.2,5941.6,5991.8,50.2,0
06/03/2020,5835.1,5943.7,5835.1,5941.6,106.5,0
06/02/2020,5819.2,5859,5800,5835.1,15.9,0
06/01/2020,5755.7,5819.2,5705.4,5819.2,63.5,0
05/29/2020,5851.1,5851.1,5755.7,5755.7,-95.4,0
05/28/2020,5775,5922,5775,5851.1,76.1,0
05/27/2020,5780,5835.9,5713.9,5775,-5,0
05/26/2020,5615.6,5780,5615.6,5780,164.4,0
05/25/2020,5497,5615.6,5497,5615.6,118.6,0
05/22/2020,5550.4,5569.7,5494.8,5497,-53.4,0
05/21/2020,5573,5610.8,5545.2,5550.4,-22.6,0
05/20/2020,5559.5,5587.1,5507,5573,13.5,0
05/19/2020,5460.5,5606.8,5460.5,5559.5,99,0
05/18/2020,5404.8,5486.3,5404.8,5460.5,55.7,0
05/15/2020,5328.7,5412.4,5328.7,5404.8,76.1,0
05/14/2020,5421.7,5421.7,5328.7,5328.7,-93.2,0
05/13/2020,5403,5421.9,5301.9,5421.9,18.9,0
05/12/2020,5461.2,5461.4,5374,5403,-58.2,0
05/11/2020,5391.1,5489.5,5391.1,5461.2,70.1,0
05/08/2020,5364.2,5428,5364.2,5391.1,26.9,0
05/07/2020,5384.6,5388.3,5347.3,5364.2,-20.4,0
05/06/2020,5407.1,5408.6,5345,5384.6,-22.5,0
05/05/2020,5319.8,5407.1,5319.8,5407.1,87.3,0
05/04/2020,5245.9,5328.4,5169.6,5319.8,73.9,0
05/01/2020,5522.4,5522.4,5245.9,5245.9,-276.5,0
04/30/2020,5393.4,5549.1,5393.4,5522.4,129,0
