Time,Open,High,Low,Last,Change,Volume
"12/24/2020 14:00",6674.5,6674.5,6674.4,6674.4,1,0
"12/24/2020 13:59",6674.4,6674.4,6673.4,6673.4,-1.7,0
"12/24/2020 13:58",6675.3,6675.3,6675.1,6675.1,0.2,0
"12/24/2020 13:57",6674.6,6674.9,6674.6,6674.9,-0.2,0
"12/24/2020 13:56",6675.5,6675.5,6675.1,6675.1,0.6,0
"12/24/2020 13:55",6674.5,6674.5,6674.5,6674.5,3.4,0
"12/24/2020 13:54",6671.1,6671.1,6671.1,6671.1,-0.5,0
"12/24/2020 13:53",6672.1,6672.1,6671.6,6671.6,-0.3,0
"12/24/2020 13:52",6670.7,6671.9,6670.7,6671.9,1.2,0
"12/24/2020 13:51",6670.5,6670.7,6670.5,6670.7,0.1,0
"12/24/2020 13:50",6671.2,6671.2,6670.6,6670.6,-1.2,0
"12/24/2020 13:49",6672.5,6672.5,6671.8,6671.8,-0.7,0
"12/24/2020 13:48",6672.9,6672.9,6672.5,6672.5,-5.6,0
"12/24/2020 13:47",6678.8,6678.8,6678.1,6678.1,1.1,0
"12/24/2020 13:46",6678.1,6678.1,6677,6677,-1.5,0
"12/24/2020 13:45",6677.9,6678.5,6677.9,6678.5,0.3,0
"12/24/2020 13:44",6679,6679,6678.2,6678.2,-1,0
"12/24/2020 13:43",6679.3,6679.3,6679.2,6679.2,-0.9,0
"12/24/2020 13:42",6681.6,6681.6,6680.1,6680.1,-1.6,0
"12/24/2020 13:41",6681.7,6681.7,6681.7,6681.7,-0.3,0
"12/24/2020 13:40",6682.1,6682.1,6682,6682,-0.8,0
"12/24/2020 13:39",6682,6682.8,6682,6682.8,2.6,0
"12/24/2020 13:38",6679.6,6680.2,6679.6,6680.2,0.9,0
"12/24/2020 13:37",6678.1,6679.3,6678.1,6679.3,1.7,0
"12/24/2020 13:36",6677.2,6677.6,6677.2,6677.6,0.4,0
"12/24/2020 13:35",6677.7,6677.7,6677.2,6677.2,-1.4,0
"12/24/2020 13:34",6678.9,6678.9,6678.6,6678.6,-0.6,0
"12/24/2020 13:33",6679.6,6679.6,6679.2,6679.2,0.1,0
"12/24/2020 13:32",6679.8,6679.8,6679.1,6679.1,-0.3,0
"12/24/2020 13:31",6679.9,6679.9,6679.4,6679.4,-0.4,0
"12/24/2020 13:30",6679.1,6679.8,6679.1,6679.8,0.2,0
"12/24/2020 13:29",6680.2,6680.2,6679.6,6679.6,-1.1,0
"12/24/2020 13:28",6680.8,6680.8,6680.7,6680.7,-0.6,0
"12/24/2020 13:27",6681.5,6681.5,6681.3,6681.3,0.1,0
"12/24/2020 13:26",6681.1,6681.2,6681.1,6681.2,0.5,0
"12/24/2020 13:25",6680.9,6680.9,6680.7,6680.7,-0.4,0
"12/24/2020 13:24",6681.6,6681.6,6681.1,6681.1,-0.6,0
"12/24/2020 13:23",6682,6682,6681.7,6681.7,-0.7,0
"12/24/2020 13:22",6683.7,6683.7,6682.4,6682.4,-1.6,0
"12/24/2020 13:21",6683.8,6684,6683.8,6684,0.9,0
"12/24/2020 13:20",6683,6683.1,6683,6683.1,-0.5,0
"12/24/2020 13:19",6682.9,6683.6,6682.9,6683.6,0.6,0
"12/24/2020 13:18",6682.5,6683,6682.5,6683,0.4,0
"12/24/2020 13:17",6683.3,6683.3,6682.6,6682.6,-0.7,0
"12/24/2020 13:16",6683.6,6683.6,6683.3,6683.3,0.5,0
"12/24/2020 13:15",6684.8,6684.8,6682.8,6682.8,-1.7,0
"12/24/2020 13:14",6685.1,6685.1,6684.5,6684.5,-0.9,0
"12/24/2020 13:13",6684.5,6685.4,6684.5,6685.4,0.9,0
"12/24/2020 13:12",6685.4,6685.4,6684.5,6684.5,-0.4,0
"12/24/2020 13:11",6686.4,6686.4,6684.9,6684.9,-1.1,0
"12/24/2020 13:10",6686.6,6686.6,6686,6686,-0.1,0
"12/24/2020 13:09",6686.8,6686.8,6686.1,6686.1,-1,0
"12/24/2020 13:08",6687.8,6687.8,6687.1,6687.1,-1.2,0
"12/24/2020 13:07",6687.2,6688.3,6687.2,6688.3,2,0
"12/24/2020 13:06",6685.6,6686.3,6685.6,6686.3,0.9,0
"12/24/2020 13:05",6685.4,6685.4,6685.4,6685.4,0.1,0
"12/24/2020 13:04",6685,6685.3,6685,6685.3,0.3,0
"12/24/2020 13:03",6685.7,6685.7,6685,6685,-1.1,0
"12/24/2020 13:02",6686,6686.1,6686,6686.1,-0.4,0
"12/24/2020 13:01",6686.6,6686.6,6686.5,6686.5,0.4,0
"12/24/2020 13:00",6687.1,6687.1,6686.1,6686.1,-1.1,0
"12/24/2020 12:59",6688.1,6688.1,6687.2,6687.2,-1.6,0
"12/24/2020 12:58",6689.3,6689.3,6688.8,6688.8,-0.7,0
"12/24/2020 12:57",6690.3,6690.3,6689.5,6689.5,-0.4,0
"12/24/2020 12:56",6691,6691,6689.9,6689.9,-1.8,0
"12/24/2020 12:55",6692.5,6692.5,6691.7,6691.7,-3.7,0
"12/24/2020 12:54",6695.6,6695.6,6695.4,6695.4,-0.5,0
"12/24/2020 12:53",6696.2,6696.2,6695.9,6695.9,0.5,0
"12/24/2020 12:52",6694.2,6695.4,6694.2,6695.4,1.2,0
"12/24/2020 12:51",6693.1,6694.2,6693.1,6694.2,0.2,0
"12/24/2020 12:50",6694.5,6694.5,6694,6694,-0.7,0
"12/24/2020 12:49",6695.9,6695.9,6694.7,6694.7,0.5,0
"12/24/2020 12:48",6695,6695,6694.2,6694.2,0.2,0
"12/24/2020 12:47",6694.6,6694.6,6694,6694,-0.2,0
"12/24/2020 12:46",6694.1,6694.2,6694.1,6694.2,1.8,0
"12/24/2020 12:45",6692,6692.4,6692,6692.4,1.2,0
"12/24/2020 12:44",6690.2,6691.2,6690.2,6691.2,1,0
"12/24/2020 12:43",6689.1,6690.2,6689.1,6690.2,2.2,0
"12/24/2020 12:42",6686.8,6688,6686.8,6688,1.6,0
"12/24/2020 12:41",6686.2,6686.4,6686.2,6686.4,0.6,0
"12/24/2020 12:40",6685.4,6685.8,6685.4,6685.8,1.9,0
"12/24/2020 12:39",6682.6,6683.9,6682.6,6683.9,1.5,0
"12/24/2020 12:38",6682,6682.4,6682,6682.4,0.7,0
"12/24/2020 12:37",6680.7,6681.7,6680.7,6681.7,1.3,0
"12/24/2020 12:36",6680.9,6680.9,6680.4,6680.4,-0.4,0
"12/24/2020 12:35",6680.8,6680.8,6680.8,6680.8,1,0
"12/24/2020 12:34",6679.5,6679.8,6679.5,6679.8,1.4,0
"12/24/2020 12:33",6677.7,6678.4,6677.7,6678.4,-2.6,0
"12/24/2020 12:32",6684.3,6684.3,6681,6681,-4.6,0
"12/24/2020 12:31",6685.9,6685.9,6685.6,6685.6,0.1,0
"12/24/2020 12:30",6685.9,6685.9,6685.5,6685.5,-0.3,0
"12/24/2020 12:29",6686.1,6686.1,6685.8,6685.8,0.8,0
"12/24/2020 12:28",6685,6685,6685,6685,0.5,0
"12/24/2020 12:27",6685,6685,6684.5,6684.5,-0.3,0
"12/24/2020 12:26",6686.3,6686.3,6684.8,6684.8,-1.2,0
"12/24/2020 12:25",6686.1,6686.1,6686,6686,-0.2,0
"12/24/2020 12:24",6685.4,6686.2,6685.4,6686.2,0.8,0
"12/24/2020 12:23",6686.1,6686.1,6685.4,6685.4,-0.2,0
"12/24/2020 12:22",6685.4,6685.6,6685.4,6685.6,0.8,0
"12/24/2020 12:21",6686.2,6686.2,6684.8,6684.8,-0.9,0
"12/24/2020 12:20",6684.5,6685.7,6684.5,6685.7,2.5,0
"12/24/2020 12:19",6682.9,6683.2,6682.9,6683.2,0.8,0
"12/24/2020 12:18",6682.6,6682.6,6682.4,6682.4,-0.5,0
"12/24/2020 12:17",6683.3,6683.3,6682.9,6682.9,-1,0
"12/24/2020 12:16",6683.1,6683.9,6683.1,6683.9,1,0
"12/24/2020 12:15",6683.2,6683.2,6682.9,6682.9,-0.6,0
"12/24/2020 12:14",6682.8,6683.5,6682.8,6683.5,0.5,0
"12/24/2020 12:13",6682.8,6683,6682.8,6683,1.5,0
"12/24/2020 12:12",6680.3,6681.5,6680.3,6681.5,1,0
"12/24/2020 12:11",6680.7,6680.7,6680.5,6680.5,-0.3,0
"12/24/2020 12:10",6679.9,6680.8,6679.9,6680.8,1.5,0
"12/24/2020 12:09",6679.4,6679.4,6679.3,6679.3,-0.1,0
"12/24/2020 12:08",6680.4,6680.4,6679.4,6679.4,-1.1,0
"12/24/2020 12:07",6680.4,6680.5,6680.4,6680.5,-0.7,0
"12/24/2020 12:06",6682.3,6682.3,6681.2,6681.2,-0.8,0
"12/24/2020 12:05",6681.7,6682,6681.7,6682,0.7,0
"12/24/2020 12:04",6680.2,6681.3,6680.2,6681.3,3.1,0
"12/24/2020 12:03",6677.6,6678.2,6677.6,6678.2,0.8,0
"12/24/2020 12:02",6677.5,6677.5,6677.4,6677.4,-0.4,0
"12/24/2020 12:01",6677.5,6677.8,6677.5,6677.8,1.2,0
"12/24/2020 12:00",6675.6,6676.6,6675.6,6676.6,1.4,0
"12/24/2020 11:59",6675.4,6675.4,6675.2,6675.2,-1.4,0
"12/24/2020 11:58",6677.6,6677.6,6676.6,6676.6,-0.6,0
"12/24/2020 11:57",6677.3,6677.3,6677.2,6677.2,0.1,0
"12/24/2020 11:56",6677,6677.1,6677,6677.1,0.4,0
"12/24/2020 11:55",6675,6676.7,6675,6676.7,2.3,0
"12/24/2020 11:54",6674.9,6674.9,6674.4,6674.4,-1.4,0
"12/24/2020 11:53",6677.2,6677.2,6675.8,6675.8,-2.1,0
"12/24/2020 11:52",6678,6678,6677.9,6677.9,0,0
"12/24/2020 11:51",6677.7,6677.9,6677.7,6677.9,1.3,0
"12/24/2020 11:50",6676.9,6676.9,6676.6,6676.6,-0.2,0
"12/24/2020 11:49",6676,6676.8,6676,6676.8,0.8,0
"12/24/2020 11:48",6676.6,6676.6,6676,6676,-0.8,0
"12/24/2020 11:47",6676.9,6676.9,6676.8,6676.8,0.6,0
"12/24/2020 11:46",6677.4,6677.4,6676.2,6676.2,-1.5,0
"12/24/2020 11:45",6677.2,6677.7,6677.2,6677.7,0.2,0
"12/24/2020 11:44",6678.4,6678.4,6677.5,6677.5,-1.1,0
"12/24/2020 11:43",6677.5,6678.6,6677.5,6678.6,0.8,0
"12/24/2020 11:42",6678.7,6678.7,6677.8,6677.8,-1.5,0
"12/24/2020 11:41",6680.8,6680.8,6679.3,6679.3,-2,0
"12/24/2020 11:40",6682.1,6682.1,6681.3,6681.3,-0.5,0
"12/24/2020 11:39",6682,6682,6681.8,6681.8,0.1,0
"12/24/2020 11:38",6681.4,6681.7,6681.4,6681.7,1,0
"12/24/2020 11:37",6680.7,6680.7,6680.7,6680.7,0.2,0
"12/24/2020 11:36",6680.8,6680.8,6680.5,6680.5,1.1,0
"12/24/2020 11:35",6679.5,6679.5,6679.4,6679.4,-0.1,0
"12/24/2020 11:34",6679,6679.5,6679,6679.5,1.1,0
"12/24/2020 11:33",6678.8,6678.8,6678.4,6678.4,-0.1,0
"12/24/2020 11:32",6679.2,6679.2,6678.5,6678.5,-1.3,0
"12/24/2020 11:31",6680.3,6680.3,6679.8,6679.8,-1.2,0
"12/24/2020 11:30",6681,6681,6681,6681,-0.2,0
"12/24/2020 11:29",6681.6,6681.6,6681.2,6681.2,-1.6,0
"12/24/2020 11:28",6682.3,6682.8,6682.3,6682.8,0.4,0
"12/24/2020 11:27",6682.4,6682.4,6682.4,6682.4,3.8,0
