Time,Open,High,Low,Last,Change,Volume,"Open Int"
12/18/2020,172.5,173.0313,172.0625,172.125,-0.5313,260539,1137108
12/17/2020,172.9688,173.6875,172.2813,172.6563,-0.2812,375432,1138132
12/16/2020,173.25,173.375,172.125,172.9375,0.0312,420811,1140403
12/15/2020,173.625,173.9688,172.8438,172.9063,-0.7812,283139,1133191
12/14/2020,173.5,173.8438,172.5,173.6875,0.0312,305026,1133223
12/11/2020,173.5625,174.2813,173.3438,173.6563,0.1875,297776,1128453
12/10/2020,172.625,173.625,172.5313,173.4688,1,357122,1129423
12/09/2020,172.8438,172.875,171.9375,172.4688,-0.5937,306644,1122981
12/08/2020,172.625,173.5,172.25,173.0625,0.5312,278948,1126561
12/07/2020,171.5313,172.6563,171.1875,172.5313,0.875,298490,1117127
12/04/2020,173.1563,173.4688,171.125,171.6563,-1.2187,424448,1122459
12/03/2020,172.4375,173.3125,172.1563,172.875,0.7187,326784,1111689
12/02/2020,172.8125,173.1875,171.6875,172.1563,-0.5,421370,1109512
12/01/2020,175,175.1563,172.5,172.6563,-2.25,463355,1103491
11/30/2020,175,175.3125,174.5625,174.9063,-0.125,450721,1110787
11/27/2020,173.9688,175.0625,173.9688,175.0313,1.0313,176544,1120063
11/25/2020,174.0938,174.75,173.5938,174,-0.0938,441158,1084897
11/24/2020,174.875,174.9063,173.8438,174.0938,-0.7187,719582,1004930
11/23/2020,175.5938,175.625,174.5938,174.8125,-0.625,554882,661686
11/20/2020,175.25,175.6563,174.8438,175.4375,0.875,216550,307133
11/19/2020,174.0938,175.25,174.0938,174.5625,0.75,106023,156433
11/18/2020,174.2188,174.7813,173.4688,173.8125,-0.0313,33931,77087
11/17/2020,173.0938,174.2188,172.8438,173.8438,0.6875,24808,55127
11/16/2020,173.4375,174,172.5,173.1563,-0.2812,19102,40928
11/13/2020,173.75,174.0938,173.2813,173.4375,-0.125,6475,30120
11/12/2020,171.8438,173.7188,171.6563,173.5625,1.7187,6961,28008
11/11/2020,171.4688,171.9688,170.625,171.8438,0.7188,4358,25578
11/10/2020,171.875,172.625,171.0938,171.125,-0.1875,8486,23011
11/09/2020,174.25,175.0625,171.0313,171.3125,-3.3125,2362,18446
11/06/2020,176.125,176.375,174.25,174.625,-1.125,876,17795
11/05/2020,176.25,177.2188,175.2813,175.75,-0.0625,5093,17670
11/04/2020,172.3125,176.4688,171.4375,175.8125,2.5312,2674,15980
11/03/2020,173.4063,174.0625,172.6563,173.2813,-0.75,4981,14304
11/02/2020,173.6875,174.4688,173.2188,174.0313,0.3125,1680,12709
10/30/2020,174.4688,174.8438,173.2813,173.7188,-0.4062,1050,12596
10/29/2020,175.6875,175.75,173.9688,174.125,-1.25,830,12392
10/28/2020,175.7813,176.25,175.3438,175.375,-0.0625,3061,12397
10/27/2020,174.9063,175.7188,174.7188,175.4375,0.5312,140,10737
10/26/2020,174.0938,175.1875,174.0938,174.9063,1.0625,653,10678
10/23/2020,173.2813,174,172.9375,173.8438,0.2188,537,10983
10/22/2020,174.5625,174.75,173.0625,173.625,-0.7813,3158,10573
10/21/2020,174.875,175.0313,173.7813,174.4063,-0.4375,245,7429
10/20/2020,175.25,175.25,174.75,174.8438,-1.0312,136,7350
10/19/2020,176.25,176.25,175.375,175.875,-0.4688,396,7293
10/16/2020,176.875,176.9375,175.9688,176.3438,-0.375,142,7083
10/15/2020,176.75,177.7188,176.5,176.7188,-0.0625,192,7047
10/14/2020,176.9063,177.0625,176.4688,176.7813,0.1875,272,7063
10/13/2020,175.9688,176.5938,175.6563,176.5938,0.8438,5,7005
10/12/2020,175.7813,175.7813,175.4063,175.75,0.375,4,7003
10/09/2020,175.7188,175.7188,174.7188,175.375,-0.125,23,7005
10/08/2020,175.4375,175.5938,174.9688,175.5,0.5312,16,7023
10/07/2020,175.9688,176.2188,174.75,174.9688,-1.0625,24,7023
10/06/2020,175.3125,176.3438,174.75,176.0313,0.4688,11,7002
10/05/2020,176.6563,177.1875,175.0938,175.5625,-1.8125,8,7004
10/02/2020,177.25,178.375,177.1563,177.375,-0.5,25,7001
10/01/2020,177.875,178.0313,176.8125,177.875,0.0625,3,6998
09/30/2020,178.6875,178.8125,177,177.8125,-1,51,7001
09/29/2020,178.8125,178.9063,178.8125,178.8125,0.4062,7,7043
09/28/2020,178.4063,178.7188,178.2188,178.4063,-0.2187,0,7043
09/25/2020,178.3125,178.8438,178.25,178.625,0.0937,15,7043
09/24/2020,178.1563,178.5313,177.9688,178.5313,0.5,9,7040
09/23/2020,177.5313,178.4688,177.5313,178.0313,-0.25,5970,7038
09/22/2020,178.2813,178.2813,177.8125,178.2813,0.1875,4289,2624
09/21/2020,178.0938,178.75,178.0938,178.0938,0.5625,0,52
09/18/2020,177.875,178.3125,177.5313,177.5313,-0.4687,7,52
09/17/2020,178,178.8438,177.9375,178,0.25,19,58
09/16/2020,178.625,178.625,177.5313,177.75,-0.2813,4,61
09/15/2020,178.0313,178.0313,177.7813,178.0313,-0.1875,25,59
09/14/2020,178.3125,178.4063,178.2188,178.2188,0.125,21,49
09/11/2020,177.9375,178.0938,177.9375,178.0938,0.3438,35,39
09/10/2020,177.75,177.75,177.75,177.75,0.5312,0,19
09/09/2020,177.4063,177.4063,177.2188,177.2188,-0.5625,12,19
09/08/2020,178.0313,178.4688,177.7813,177.7813,1.25,24,15
09/04/2020,176.5313,177.0625,175.4688,176.5313,-0.4062,1,1
09/03/2020,176.9375,176.9375,176.9375,176.9375,0.6562,0,1
09/02/2020,176.2813,176.2813,176.2813,176.2813,0.875,0,1
09/01/2020,174.7813,175.4063,174.7813,175.4063,0.625,1,1
08/31/2020,174.7813,174.7813,174.7813,174.7813,0,0,0
08/28/2020,174.7813,174.7813,174.7813,174.7813,0.0313,0,0
08/27/2020,174.75,174.75,174.75,174.75,-1.75,0,0
08/26/2020,176.5,176.5,176.5,176.5,-0.375,0,0
08/25/2020,176.875,176.875,176.875,176.875,-0.9063,0,0
08/24/2020,177.7813,177.7813,177.7813,177.7813,-0.1562,0,0
08/21/2020,177.9375,177.9375,177.9375,177.9375,0.25,0,0
08/20/2020,177.6875,177.6875,177.6875,177.6875,0.9062,0,0
08/19/2020,176.7813,176.7813,176.7813,176.7813,-0.375,0,0
08/18/2020,177.1563,177.1563,177.1563,177.1563,0.4688,0,0
08/17/2020,176.6875,176.6875,176.6875,176.6875,0.5,0,0
08/14/2020,176.1875,176.1875,176.1875,176.1875,0.0312,0,0
08/13/2020,176.1563,176.1563,176.1563,176.1563,-0.9687,0,0
08/12/2020,177.125,177.125,177.125,177.125,-0.3438,0,0
08/11/2020,177.4688,177.4688,177.4688,177.4688,-2.1562,0,0
08/10/2020,179.625,179.625,179.625,179.625,-0.3125,0,0
08/07/2020,179.9375,179.9375,179.9375,179.9375,-0.6563,0,0
08/06/2020,180.5938,180.5938,180.5938,180.5938,0.125,0,0
08/05/2020,180.4688,180.4688,180.4688,180.4688,-0.6875,0,0
08/04/2020,181.1563,181.1563,181.1563,181.1563,1.1875,0,0
08/03/2020,179.9688,179.9688,179.9688,179.9688,-0.6875,0,0
07/31/2020,180.6563,180.6563,180.6563,180.6563,-0.0312,0,0
07/30/2020,180.6875,180.6875,180.6875,180.6875,1.0312,0,0
07/29/2020,179.6563,179.6563,179.6563,179.6563,-0.1562,0,0
07/28/2020,179.8125,179.8125,179.8125,179.8125,0.7812,0,0
07/27/2020,179.0313,179.0313,179.0313,179.0313,-0.4375,0,0
07/24/2020,179.4688,179.4688,179.4688,179.4688,0,0,0
07/23/2020,179.4688,179.4688,179.4688,179.4688,0.4688,0,0
07/22/2020,179,179,179,179,0.375,0,0
07/21/2020,178.625,178.625,178.625,178.625,0.2812,0,0
07/20/2020,178.3438,178.3438,178.3438,178.3438,0.2813,0,0
07/17/2020,178.0625,178.0625,178.0625,178.0625,-0.5,0,0
07/16/2020,178.5625,178.5625,178.5625,178.5625,0.5,0,0
07/15/2020,178.0625,178.0625,178.0625,178.0625,-0.5625,0,0
07/14/2020,178.625,178.625,178.625,178.625,0.6875,0,0
07/13/2020,177.9375,177.9375,177.9375,177.9375,-0.1875,0,0
07/10/2020,178.125,178.125,178.125,178.125,-0.5625,0,0
07/09/2020,178.6875,178.6875,178.6875,178.6875,1.2812,0,0
07/08/2020,177.4063,177.4063,177.4063,177.4063,-0.0625,0,0
07/07/2020,177.4688,177.4688,177.4688,177.4688,1.0313,0,0
07/06/2020,176.4375,176.4375,176.4375,176.4375,-0.3438,0,0
07/02/2020,176.7813,176.7813,176.7813,176.7813,-0.25,0,0
07/01/2020,177.0313,177.0313,177.0313,177.0313,-0.4375,0,0
06/30/2020,177.4688,177.4688,177.4688,177.4688,-0.4687,0,0
06/29/2020,177.9375,177.9375,177.9375,177.9375,-0.0625,0,0
06/26/2020,178,178,178,178,0.7812,0,0
06/25/2020,177.2188,177.2188,177.2188,177.2188,0.3438,0,0
06/24/2020,176.875,176.875,176.875,176.875,0.9375,0,0
06/23/2020,175.9375,175.9375,175.9375,175.9375,-0.3438,0,0
06/22/2020,176.2813,176.2813,176.2813,176.2813,0,0,0
06/19/2020,176.2813,176.2813,176.2813,176.2813,-0.125,0,0
06/18/2020,176.4063,176.4063,176.4063,176.4063,1.2188,0,0
06/17/2020,175.1875,175.1875,175.1875,175.1875,0.5,0,0
