Time,Open,High,Low,Last,Change,Volume
"03/31/2020 17:00",5076.8,5076.8,5076.8,5076.8,0,0
"03/31/2020 16:15",5076.8,5076.8,5076.8,5076.8,0,0
"03/31/2020 16:00",5028.6,5076.8,5028.5,5076.8,50.5,0
"03/31/2020 15:45",5040.7,5080.1,5005.8,5026.3,-6.5,0
"03/31/2020 15:30",5097.7,5097.7,5018.2,5032.8,-63.5,0
"03/31/2020 15:15",5147.3,5148.5,5096.3,5096.3,-52,0
"03/31/2020 15:00",5169.2,5169.2,5138.2,5148.3,-11.5,0
"03/31/2020 14:45",5190.2,5206,5147.9,5159.8,-22.2,0
"03/31/2020 14:30",5219.5,5219.5,5156.3,5182,-43.6,0
"03/31/2020 14:15",5173,5250.2,5152.7,5225.6,62.5,0
"03/31/2020 14:00",5235.9,5235.9,5113.9,5163.1,-72.6,0
"03/31/2020 13:45",5251,5258.3,5235.6,5235.7,-18.1,0
"03/31/2020 13:30",5282.7,5285.1,5253.8,5253.8,-30.8,0
"03/31/2020 13:15",5298.9,5301.8,5275.3,5284.6,-18,0
"03/31/2020 13:00",5309.4,5314.5,5302,5302.6,-6.5,0
"03/31/2020 12:45",5311.9,5323.8,5309.1,5309.1,-3.5,0
"03/31/2020 12:30",5325.6,5329.8,5307.9,5312.6,-13,0
"03/31/2020 12:15",5346.8,5348.8,5315.2,5325.6,-25.1,0
"03/31/2020 12:00",5321.7,5358.8,5321.7,5350.7,22.2,0
"03/31/2020 11:45",5334.8,5345.7,5326.6,5328.5,-6.9,0
"03/31/2020 11:30",5366.4,5366.4,5325.6,5335.4,-29.6,0
"03/31/2020 11:15",5335.7,5365,5327.2,5365,30.2,0
"03/31/2020 11:00",5307,5350.4,5307,5334.8,26.4,0
"03/31/2020 10:45",5323.3,5323.3,5297.5,5308.4,-13.3,0
"03/31/2020 10:30",5296.1,5364.7,5296.1,5321.7,32.3,0
"03/31/2020 10:15",5238.1,5289.8,5230.7,5289.4,45.1,0
"03/31/2020 10:00",5181.4,5255.5,5181.4,5244.3,62.9,0
"03/30/2020 17:15",5181.4,5181.4,5181.4,5181.4,0,0
"03/30/2020 16:15",5181.4,5181.4,5181.4,5181.4,0,0
"03/30/2020 16:00",5065.3,5181.4,5065.3,5181.4,115.6,0
"03/30/2020 15:45",5036.7,5069.6,5013.2,5065.8,32.5,0
"03/30/2020 15:30",5086.3,5086.3,5031.5,5033.3,-51.4,0
"03/30/2020 15:15",5053.2,5093.1,5053.1,5084.7,24.8,0
"03/30/2020 15:00",5037.3,5065.1,5037.3,5059.9,28.2,0
"03/30/2020 14:45",5000.3,5037.2,4998,5031.7,33.9,0
"03/30/2020 14:30",4986.9,4998.3,4981.9,4997.8,12.2,0
"03/30/2020 14:15",4980.1,5013.6,4980.1,4985.6,6.6,0
"03/30/2020 14:00",4954.5,4979,4952.2,4979,27,0
"03/30/2020 13:45",4970.9,4979,4952,4952,-21.1,0
"03/30/2020 13:30",4945.7,4982,4942.3,4973.1,25.4,0
"03/30/2020 13:15",4951.4,4956.2,4942.9,4947.7,-4.8,0
"03/30/2020 13:00",4961,4967.4,4950.3,4952.5,-7.3,0
"03/30/2020 12:45",4948.2,4959.8,4941.2,4959.8,12.9,0
"03/30/2020 12:30",4948.5,4949.9,4942.3,4946.9,-3.3,0
"03/30/2020 12:15",4911.3,4954.7,4911.3,4950.2,39,0
"03/30/2020 12:00",4912.3,4917.4,4904.4,4911.2,-0.4,0
"03/30/2020 11:45",4894.2,4919.1,4892.7,4911.6,17.7,0
