Time,Open,High,Low,Last,Change,Volume,"Open Int"
12/18/2020,1891.3,1895.7,1881.9,1888.9,-1.5,153231,417296
12/17/2020,1868.4,1902,1865.9,1890.4,31.3,219866,416998
12/16/2020,1857.7,1870,1848.2,1859.1,3.8,199679,408278
12/15/2020,1830.5,1859.3,1828.5,1855.3,23.2,173607,404978
12/14/2020,1845,1845.6,1820,1832.1,-11.5,168491,399626
12/11/2020,1840,1851.8,1826.8,1843.6,6.2,153800,401305
12/10/2020,1843,1854.2,1831.5,1837.4,-1.1,164803,397796
12/09/2020,1875.4,1875.9,1828.2,1838.5,-36.4,219587,400179
12/08/2020,1866.1,1879.8,1863.9,1874.9,8.9,151792,404655
12/07/2020,1841.1,1873,1824.8,1866,26,209042,403195
12/04/2020,1844.7,1852.7,1832,1840,-1.1,171259,396424
12/03/2020,1833.9,1847.4,1826.7,1841.1,10.9,180357,398247
12/02/2020,1819.1,1835.7,1810.5,1830.2,11.3,185323,396152
12/01/2020,1780.3,1821.1,1778.4,1818.9,38,203653,394763
11/30/2020,1790.8,1793.3,1767.2,1780.9,-7.2,242726,396046
11/27/2020,1812.1,1822.6,1776.5,1788.1,-23.1,282346,393284
11/25/2020,1812,1821.7,1804.7,1811.2,0.3,133601,376733
11/24/2020,1842.6,1843,1803.7,1810.9,-33.2,126761,340439
11/23/2020,1875.9,1880.7,1834.4,1844.1,-34.1,108427,299127
11/20/2020,1869.8,1884.7,1864.7,1878.2,11.3,46608,253673
11/19/2020,1877,1877.8,1855.7,1866.9,-12.3,42387,233684
11/18/2020,1886,1889.7,1866.2,1879.2,-12.1,46701,220127
11/17/2020,1894.3,1898.9,1882.7,1891.3,-2.8,21643,210616
11/16/2020,1893.7,1904.3,1868.8,1894.1,1.1,31179,203436
11/13/2020,1883,1902.4,1878.8,1893,12.8,20390,192708
11/12/2020,1873.5,1889.5,1867.2,1880.2,12.1,46074,183417
11/11/2020,1882.6,1888.8,1860.2,1868.1,-14.9,45214,163099
11/10/2020,1870.8,1894.9,1865.2,1883,22.4,52034,147949
11/09/2020,1961.7,1973.3,1854,1860.6,-98.5,96859,130337
11/06/2020,1957.4,1968.9,1944.6,1959.1,5.3,37295,98790
11/05/2020,1910.5,1961.4,1910.2,1953.8,50.7,24772,85667
11/04/2020,1917.9,1924,1888.6,1903.1,-14.3,21925,75021
11/03/2020,1903.4,1919,1895.2,1917.4,17.7,14978,67805
11/02/2020,1885.3,1904.3,1881,1899.7,12.5,11690,62782
10/30/2020,1875.1,1897.9,1871.1,1887.2,12,10612,60686
10/29/2020,1884.1,1892,1866.7,1875.2,-11.4,7491,57660
10/28/2020,1917.4,1919.4,1876.4,1886.6,-32.7,6940,56090
10/27/2020,1911.4,1920.9,1906.3,1919.3,6.1,5391,54808
10/26/2020,1912.3,1918.3,1900.2,1913.2,0.5,4281,53425
10/23/2020,1914.5,1924.5,1902.8,1912.7,0.7,4613,52708
10/22/2020,1935.5,1936.1,1902,1912,-24.9,6457,51372
10/21/2020,1917.8,1943.4,1917.8,1936.9,14,4995,51171
10/20/2020,1913.3,1925,1904.4,1922.9,3.6,4824,50592
10/19/2020,1912.7,1930.8,1908.5,1919.3,5.3,4533,49938
10/16/2020,1920.7,1926.2,1908.8,1914,-2.6,3174,49123
10/15/2020,1911.5,1920.7,1900.5,1916.6,1.5,3285,48516
10/14/2020,1903,1925.1,1892.8,1915.1,12.9,2328,48374
10/13/2020,1936.1,1937.8,1897.6,1902.2,-34.1,6197,47909
10/12/2020,1942.4,1945.6,1931.3,1936.3,2.7,3011,47404
10/09/2020,1906,1944,1906,1933.6,30.9,8327,47055
10/08/2020,1897.7,1911.9,1893,1902.7,5,7060,46153
10/07/2020,1889,1908.5,1884,1897.7,-18.1,6460,45041
10/06/2020,1925,1933.5,1886.3,1915.8,-11.2,2924,44501
10/05/2020,1914.3,1931.6,1898.4,1927,12.3,2915,44410
10/02/2020,1918,1930.4,1903.5,1914.7,-8.7,1997,43564
10/01/2020,1901.1,1924.5,1897.6,1923.4,20.8,2188,43345
09/30/2020,1910.2,1915.2,1893.4,1902.6,-7.8,3473,42989
09/29/2020,1893.4,1911.8,1889.4,1910.4,20.8,2222,43220
09/28/2020,1869.6,1895,1858.8,1889.6,16.1,3114,43316
09/25/2020,1881.7,1885.9,1861.6,1873.5,-10.4,1456,43237
09/24/2020,1875.7,1887.2,1858.1,1883.9,8.2,3053,43320
09/23/2020,1910.4,1916.6,1863.6,1875.7,-39.3,4955,42913
09/22/2020,1926.7,1931.5,1906.6,1915,-3,1895,42390
09/21/2020,1958.1,1969.6,1892.8,1918,-51.7,4215,42173
